,Monocytes,Bcells,CD4Tcells,NK,CD8Tcells,Neutrophils,MEP,Endothelial,Astrocytes,Neuron,Oligodendrocytes,Microglia,Fibroblast,GBM
cg25470077,0.0111,0.014,0.016,0.0116,0.0128,0.0086,0.0056,0.0255,0.015795083716511726,0.28673237562179565,0.014942224137485027,0.01586499810218811,0.0038799999747425318,0.1271289885044098
cg18220639,0.8826,0.8674,0.8343,0.8704,0.8328,0.8705,0.9334,0.8647,0.13258254528045654,0.7746938467025757,0.7205758690834045,0.8927170634269714,0.784850001335144,0.682669997215271
cg06769820,0.0403,0.0401,0.037,0.0403,0.0386,0.0348,0.0245,0.1134,0.036216191947460175,0.14262670278549194,0.6251494884490967,0.053017858415842056,0.013179999776184559,0.1673249900341034
cg13134763,0.9398,0.9458,0.9309,0.9294,0.9419,0.925,0.9799,0.9362,0.8934857249259949,0.9754002094268799,0.9549499154090881,0.9538946151733398,0.9077799916267395,0.3615749776363373
cg20204701,0.9627,0.9703,0.959,0.9163,0.9594,0.9318,0.9779,0.95,0.9687133431434631,0.531339704990387,0.9648129343986511,0.9719239473342896,0.9696199893951416,0.9566500782966614
cg18398056,0.0486,0.0577,0.0514,0.0485,0.0601,0.0402,0.0413,0.3468,0.05175699293613434,0.14003431797027588,0.04849250242114067,0.053983211517333984,0.05919000133872032,0.2212049961090088
cg03217795,0.009,0.0088,0.0094,0.0086,0.0083,0.0067,0.0075,0.0242,0.017672386020421982,0.022398198023438454,0.013880833052098751,0.0125857163220644,0.007619999814778566,0.7863219976425171
cg11022926,0.8556,0.5548,0.158,0.233,0.1325,0.8538,0.782,0.4506,0.0756373181939125,0.32406291365623474,0.12649554014205933,0.6702247858047485,0.1286800056695938,0.26467400789260864
cg24003508,0.5078,0.365,0.088,0.0508,0.2296,0.5339,0.678,0.0811,0.10844126343727112,0.24095602333545685,0.17749497294425964,0.05670607462525368,0.07654000073671341,0.46358004212379456
cg08675717,0.0086,0.1243,0.0226,0.0106,0.0338,0.0082,0.0061,0.0214,0.008039047941565514,0.01815199665725231,0.006373888812959194,0.011712677776813507,0.008369999937713146,0.05150999873876572
cg19626138,0.2841,0.0446,0.7786,0.0658,0.7498,0.3214,0.3323,0.7737,0.8578629493713379,0.8973743915557861,0.8586461544036865,0.774370014667511,0.8546500205993652,0.6323310136795044
cg04542489,0.0246,0.0511,0.214,0.0433,0.2158,0.0278,0.0376,0.0402,0.02613460086286068,0.07129739224910736,0.028261668980121613,0.02253464236855507,0.06458000093698502,0.021713998168706894
cg24008544,0.02,0.0224,0.0185,0.014,0.0244,0.0174,0.018,0.0134,0.02042190358042717,0.8704211711883545,0.02760305255651474,0.014632676728069782,0.01286999974399805,0.24609899520874023
cg16374333,0.8908,0.9,0.1162,0.1563,0.0814,0.8616,0.8631,0.8613,0.8912330269813538,0.9222392439842224,0.8916202187538147,0.8992236852645874,0.9129899740219116,0.8919121026992798
cg08860190,0.9351,0.9242,0.9185,0.9252,0.9228,0.9168,0.9389,0.8702,0.8725934028625488,0.9085015654563904,0.8940093517303467,0.11746125668287277,0.917389988899231,0.8012830018997192
cg09948350,0.8442,0.8613,0.8386,0.8773,0.8468,0.141,0.9022,0.8151,0.8325731158256531,0.8818789720535278,0.8359312415122986,0.8786800503730774,0.8431599736213684,0.7458059787750244
cg04915044,0.0515,0.06,0.1306,0.0457,0.1076,0.0475,0.2093,0.2156,0.6883947849273682,0.4582488238811493,0.6580685377120972,0.04344213381409645,0.1367100030183792,0.09689200669527054
cg14325123,0.9,0.8988,0.8566,0.3076,0.863,0.8784,0.6916,0.8539,0.8858935832977295,0.9063369631767273,0.8802272081375122,0.8475646376609802,0.9353200197219849,0.8818559646606445
cg12198334,0.082,0.1184,0.1316,0.085,0.1237,0.122,0.049,0.1112,0.6598244309425354,0.16292931139469147,0.2581707835197449,0.13645054399967194,0.48069000244140625,0.28189602494239807
cg14659678,0.9283,0.9186,0.9094,0.9162,0.92,0.9128,0.8861,0.8948,0.8780703544616699,0.932098388671875,0.8980882167816162,0.9092092514038086,0.374889999628067,0.8844980001449585
cg01484686,0.0399,0.106,0.0636,0.06,0.0944,0.0412,0.0273,0.1512,0.063267782330513,0.2771541178226471,0.5015369653701782,0.039739109575748444,0.04814999923110008,0.1301180124282837
cg06936290,0.0311,0.0621,0.0391,0.0305,0.0314,0.0292,0.0243,0.3103,0.03886333480477333,0.6029678583145142,0.6615139245986938,0.07473587989807129,0.036740001291036606,0.3107199966907501
cg17567317,0.0072,0.0099,0.0113,0.0111,0.0088,0.0103,0.0,0.0112,0.009210160933434963,0.014573400840163231,0.007780832704156637,0.007663215044885874,0.0032999999821186066,0.01708799973130226
cg09163720,0.6672,0.9076,0.8886,0.9079,0.8908,0.123,0.885,0.804,0.8549203276634216,0.8887038230895996,0.8431488871574402,0.7910823822021484,0.8651099801063538,0.8721150159835815
cg07111501,0.0222,0.0282,0.0287,0.018,0.0238,0.0245,0.0001,0.0052,0.009259682148694992,0.010628098621964455,0.005174722988158464,0.00471803592517972,0.003169999923557043,0.014901998452842236
cg18188916,0.913,0.9112,0.8652,0.9004,0.9084,0.9039,0.9463,0.8642,0.05446396395564079,0.9164900183677673,0.3222019076347351,0.9202357530593872,0.9215499758720398,0.3334609866142273
cg27037013,0.7215,0.6181,0.186,0.1799,0.1548,0.7081,0.6209,0.5894,0.08687777817249298,0.13630631566047668,0.0887949988245964,0.7463199496269226,0.4252299964427948,0.11059999465942383
cg22212560,0.7237,0.034,0.9125,0.8982,0.9227,0.8616,0.9032,0.8876,0.8171950578689575,0.8708215355873108,0.554283857345581,0.5458099842071533,0.9271799921989441,0.8730980157852173
cg06526020,0.8316,0.9065,0.8971,0.8994,0.9179,0.089,0.8459,0.7735,0.8879956007003784,0.9062836170196533,0.8855441808700562,0.8382835984230042,0.9483699798583984,0.9013029932975769
cg09062198,0.9494,0.9576,0.9573,0.9541,0.9632,0.9506,0.9782,0.9303,0.9574123024940491,0.6670992970466614,0.9479103088378906,0.5063732266426086,0.9773899912834167,0.9314020276069641
cg14012082,0.4194,0.944,0.9273,0.9232,0.9454,0.3849,0.9574,0.7773,0.9236312508583069,0.9396563768386841,0.9401727318763733,0.5915694236755371,0.9518899917602539,0.8974739909172058
cg15293582,0.9161,0.919,0.5645,0.1452,0.288,0.9013,0.9593,0.8582,0.9306607246398926,0.9575343132019043,0.9269759058952332,0.9391255974769592,0.9518799781799316,0.9204230308532715
cg12691229,0.0764,0.1986,0.2013,0.328,0.37,0.0651,0.0385,0.0682,0.08934933692216873,0.07854152470827103,0.08237249404191971,0.04323839023709297,0.02191000059247017,0.1322149932384491
cg18129755,0.0218,0.1266,0.1354,0.0445,0.2568,0.0194,0.0034,0.0532,0.06150205805897713,0.03684239089488983,0.02547360770404339,0.014597323723137379,0.05503999814391136,0.13102500140666962
cg12077754,0.8771,0.9027,0.8912,0.8701,0.901,0.7917,0.1078,0.8492,0.8550184965133667,0.9296289086341858,0.6574476957321167,0.8957434892654419,0.8909400105476379,0.7847729921340942
cg04264633,0.8905,0.8797,0.8544,0.888,0.8829,0.8786,0.9139,0.2316,0.836801290512085,0.9238913655281067,0.8644859194755554,0.9103244543075562,0.8609300255775452,0.8527389764785767
cg20203114,0.053,0.0672,0.057,0.055,0.0552,0.0478,0.0241,0.0753,0.06257253885269165,0.10693689435720444,0.06218278408050537,0.04539483040571213,0.3952000141143799,0.08702299743890762
cg26166854,0.9003,0.8923,0.1259,0.7072,0.3239,0.904,0.8394,0.7484,0.8591904640197754,0.4029383361339569,0.8917839527130127,0.8635983467102051,0.8868899941444397,0.8180729746818542
cg06585734,0.3963,0.898,0.9081,0.9012,0.9109,0.744,0.9289,0.8919,0.8914076685905457,0.9153494834899902,0.8875515460968018,0.08251804113388062,0.9532700181007385,0.8986339569091797
cg15613991,0.0153,0.2587,0.4529,0.3156,0.5916,0.0164,0.111,0.3894,0.6708201766014099,0.25023195147514343,0.6527591943740845,0.0037773216608911753,0.04131000116467476,0.2624630033969879
cg10983484,0.7548,0.0506,0.4888,0.7762,0.617,0.7422,0.7104,0.2012,0.044013019651174545,0.42967310547828674,0.15208026766777039,0.6166196465492249,0.048009999096393585,0.07018900662660599
cg24401262,0.0308,0.1589,0.7758,0.6274,0.8383,0.0213,0.2701,0.6264,0.2603493332862854,0.39953044056892395,0.1682569533586502,0.025801246985793114,0.0272000003606081,0.45725297927856445
cg20098659,0.8978,0.9215,0.9173,0.9018,0.9264,0.3622,0.8524,0.8664,0.8862961530685425,0.935231626033783,0.9099262952804565,0.9103397130966187,0.9073899984359741,0.8138410449028015
cg01610123,0.0658,0.8771,0.856,0.7916,0.8451,0.1222,0.843,0.6587,0.8346054553985596,0.8837931752204895,0.8072236180305481,0.01878303661942482,0.8688799738883972,0.8106499910354614
cg22312249,0.2982,0.819,0.8617,0.8572,0.872,0.7736,0.9034,0.8197,0.8353928923606873,0.6768602728843689,0.863258957862854,0.7679551839828491,0.8461099863052368,0.8586030006408691
cg21075111,0.008,0.0079,0.0111,0.0076,0.0085,0.0097,0.0312,0.0115,0.011064764112234116,0.016697101294994354,0.01245944295078516,0.012772677466273308,0.02102999947965145,0.01538500003516674
cg20816889,0.0098,0.0236,0.0352,0.0127,0.1076,0.0117,0.0079,0.0206,0.007168888580054045,0.020189903676509857,0.010352778248488903,0.012709285132586956,0.020899999886751175,0.046695999801158905
cg19670474,0.8962,0.9079,0.9018,0.8923,0.9118,0.896,0.8701,0.3831,0.7915187478065491,0.7310214042663574,0.8504388928413391,0.8180235028266907,0.0,0.7744959592819214
cg04233620,0.6609,0.7789,0.7162,0.8497,0.7324,0.8398,0.838,0.5958,0.07548538595438004,0.8413522243499756,0.8616744875907898,0.7847947478294373,0.0,0.6855729818344116
cg24101049,0.0208,0.0243,0.0226,0.0208,0.0223,0.0241,0.0219,0.2761,0.05157332867383957,0.10118681192398071,0.03039083257317543,0.025271786376833916,0.15625,0.08087500184774399
cg07211972,0.4698,0.9076,0.8807,0.8961,0.9006,0.0897,0.9143,0.829,0.888700008392334,0.8876343369483948,0.7609726190567017,0.7572165131568909,0.9233999848365784,0.9052430391311646
cg20907614,0.265,0.918,0.9121,0.9203,0.923,0.3854,0.8686,0.8336,0.9011208415031433,0.9196298718452454,0.9039214253425598,0.8446827530860901,0.8541399836540222,0.8886400461196899
cg24729481,0.033,0.0388,0.0376,0.031,0.0305,0.0374,0.0179,0.046,0.03945333510637283,0.47393617033958435,0.07429111003875732,0.037486251443624496,0.034860000014305115,0.04487599804997444
cg14023023,0.0293,0.0281,0.0276,0.0269,0.0272,0.0292,0.0315,0.0376,0.04174269363284111,0.6949789524078369,0.08855721354484558,0.03997373953461647,0.03297000005841255,0.16317999362945557
cg26060835,0.8218,0.6464,0.5863,0.7676,0.5685,0.8195,0.8957,0.7415,0.45340046286582947,0.8020898699760437,0.8117740154266357,0.7785382270812988,0.3046700060367584,0.03794700279831886
cg22017733,0.434,0.4609,0.129,0.2913,0.1708,0.1845,0.424,0.0564,0.07274729013442993,0.34002387523651123,0.07824304699897766,0.2686362862586975,0.02418000064790249,0.18076299130916595
cg12572352,0.9697,0.9681,0.965,0.9649,0.9656,0.9662,0.9826,0.9475,0.9441669583320618,0.530484676361084,0.9509098529815674,0.9705443978309631,0.9483799934387207,0.9499640464782715
cg01992765,0.9384,0.968,0.9538,0.9565,0.9605,0.9211,0.982,0.7028,0.8908262848854065,0.9403870105743408,0.8571910262107849,0.9581818580627441,0.9198200106620789,0.9339639544487
cg20107506,0.2759,0.927,0.9265,0.9201,0.9299,0.0603,0.8774,0.8696,0.9078360795974731,0.9374744892120361,0.9202741980552673,0.8691588640213013,0.9637600183486938,0.9113799929618835
cg01301803,0.0109,0.0249,0.0127,0.0137,0.0132,0.0153,0.0188,0.1383,0.18948286771774292,0.7285082340240479,0.7348377704620361,0.015605895780026913,0.4563699960708618,0.5119220018386841
cg09694051,0.8113,0.8321,0.8599,0.8775,0.8778,0.1128,0.8273,0.7682,0.8495326638221741,0.8753241896629333,0.8588345050811768,0.7584995031356812,0.9280300140380859,0.7870930433273315
cg25840538,0.0518,0.2105,0.5637,0.1588,0.5831,0.0695,0.0479,0.1106,0.05506634712219238,0.10477989166975021,0.0558600015938282,0.05306786671280861,0.033890001475811005,0.07691100239753723
cg10547050,0.0347,0.0635,0.0464,0.0416,0.0374,0.0394,0.0,0.2763,0.20442789793014526,0.8688021898269653,0.8259221911430359,0.18379142880439758,0.0,0.537979006767273
cg23334433,0.1492,0.8872,0.877,0.8755,0.8757,0.0555,0.9121,0.8345,0.8741622567176819,0.9312920570373535,0.8949218392372131,0.8290207982063293,0.9152500033378601,0.8944819569587708
cg20873416,0.0379,0.1671,0.0465,0.1309,0.0639,0.033,0.0398,0.2338,0.22505933046340942,0.464639812707901,0.8143098950386047,0.047638386487960815,0.05626000091433525,0.4716779589653015
cg19453938,0.1424,0.218,0.0928,0.0879,0.0984,0.1069,0.0645,0.096,0.06129889562726021,0.8783762454986572,0.2097349911928177,0.8425537347793579,0.019020000472664833,0.11757300049066544
cg26552743,0.852,0.049,0.8778,0.8374,0.8845,0.8284,0.8941,0.8192,0.7922411561012268,0.8571527004241943,0.8323876261711121,0.8647240996360779,0.7188599705696106,0.7064939737319946
cg07570898,0.9184,0.824,0.438,0.8996,0.6893,0.9045,0.927,0.8912,0.9003366827964783,0.9144505262374878,0.9155704975128174,0.9316229820251465,0.9031800031661987,0.9118350148200989
cg26963545,0.9774,0.9775,0.9655,0.9768,0.9738,0.9758,0.9889,0.8227,0.9591200947761536,0.3575648367404938,0.9516841173171997,0.976283848285675,0.9301499724388123,0.8290759921073914
cg10315533,0.0732,0.0948,0.0821,0.089,0.0929,0.0726,0.0581,0.2277,0.057822853326797485,0.13344408571720123,0.05468999594449997,0.06582839041948318,0.6731899976730347,0.09475799649953842
cg16744438,0.2974,0.4119,0.0971,0.1988,0.0727,0.1124,0.6759,0.2236,0.28253334760665894,0.1875409483909607,0.13884027302265167,0.1869010627269745,0.271450012922287,0.4488169550895691
cg24710951,0.8459,0.1096,0.7476,0.8322,0.8252,0.8277,0.9033,0.7832,0.8339576721191406,0.905454158782959,0.8249356746673584,0.8792127370834351,0.8463500142097473,0.8277260661125183
cg24697925,0.9602,0.9289,0.9282,0.9544,0.9254,0.9524,0.9784,0.9346,0.9426535367965698,0.9733372330665588,0.9595144987106323,0.9741389155387878,0.962440013885498,0.7035830020904541
cg11417653,0.0036,0.0018,0.0033,0.0058,0.0042,0.0037,0.0022,0.0189,0.006266983225941658,0.012855296954512596,0.004658333491533995,0.002180535811930895,0.0013599999947473407,0.1762320101261139
cg03952488,0.0221,0.0239,0.0202,0.0237,0.0209,0.0157,0.0932,0.0304,0.02730381488800049,0.05980409309267998,0.02765333652496338,0.027301961556077003,0.061730001121759415,0.034999001771211624
cg05972352,0.9657,0.9612,0.9681,0.9659,0.9688,0.9646,0.9892,0.9337,0.9408808946609497,0.8736341595649719,0.8900718688964844,0.5227316617965698,0.9577199816703796,0.9521639943122864
cg16833452,0.0617,0.0556,0.0741,0.0611,0.0657,0.0606,0.0606,0.3378,0.09318062663078308,0.16541291773319244,0.07995110750198364,0.04526945576071739,0.14213000237941742,0.10232800245285034
cg07531268,0.0098,0.0256,0.0187,0.0169,0.0338,0.0094,0.0083,0.248,0.0831679254770279,0.052242208272218704,0.007993888109922409,0.007936428301036358,0.9423199892044067,0.723520040512085
cg25780389,0.029,0.0258,0.0352,0.0483,0.0243,0.0378,0.1008,0.6651,0.750441312789917,0.8900750875473022,0.8058257699012756,0.02105785720050335,0.7591000199317932,0.7074880003929138
cg11183365,0.0089,0.0384,0.0153,0.0106,0.0171,0.012,0.0049,0.022,0.017022699117660522,0.02337059937417507,0.020949168130755424,0.012584643438458443,0.013790000230073929,0.5005069971084595
cg10059756,0.0305,0.0351,0.035,0.0352,0.0278,0.0336,0.0354,0.0322,0.03796031326055527,0.5197051763534546,0.05739777535200119,0.030149463564157486,0.036490000784397125,0.036823999136686325
cg19060970,0.0733,0.0898,0.0987,0.1002,0.0933,0.0811,0.1041,0.1575,0.07048269361257553,0.09055250883102417,0.1265338957309723,0.3319074809551239,0.17993000149726868,0.20891499519348145
cg13446474,0.0504,0.1604,0.1043,0.0617,0.1413,0.051,0.0332,0.126,0.14231792092323303,0.28461095690727234,0.04693971946835518,0.052601076662540436,0.7813599705696106,0.26860901713371277
cg02997316,0.057,0.129,0.1186,0.2312,0.1506,0.0474,0.0472,0.0504,0.05330205708742142,0.13447299599647522,0.056767787784338,0.03495749086141586,0.04755999892950058,0.054972998797893524
cg07598385,0.0276,0.29,0.7361,0.0639,0.6625,0.0359,0.0072,0.4275,0.8978559970855713,0.9047766923904419,0.8262605667114258,0.10257626324892044,0.9085599780082703,0.8007959127426147
cg20836212,0.826,0.8807,0.8832,0.8737,0.8898,0.6191,0.0837,0.849,0.862118661403656,0.6277288198471069,0.8037027716636658,0.8700852990150452,0.8834499716758728,0.830604076385498
cg20427486,0.1586,0.0415,0.036,0.032,0.0379,0.1591,0.0645,0.6235,0.1626569628715515,0.22611933946609497,0.09590223431587219,0.7457403540611267,0.8536700010299683,0.1426680088043213
cg16654610,0.8875,0.065,0.8507,0.8852,0.8442,0.8658,0.8519,0.6837,0.8099063634872437,0.8940979838371277,0.848800778388977,0.8537014126777649,0.8959800004959106,0.7671790719032288
cg10380585,0.015,0.0184,0.0163,0.0191,0.0156,0.0161,0.005,0.1442,0.5850193500518799,0.2873813211917877,0.5101058483123779,0.020266426727175713,0.027329999953508377,0.5424710512161255
cg07232003,0.936,0.9321,0.9244,0.916,0.9248,0.9116,0.5083,0.6397,0.9218801259994507,0.880043625831604,0.8960227966308594,0.9228267669677734,0.9526600241661072,0.8309490084648132
cg07196216,0.9776,0.9779,0.9748,0.9783,0.9774,0.9744,0.9896,0.9582,0.969737708568573,0.9814281463623047,0.9745101928710938,0.985194742679596,0.9891600012779236,0.8295259475708008
cg14362630,0.0316,0.0875,0.0366,0.0225,0.0349,0.0304,0.0089,0.465,0.04029666632413864,0.1408384144306183,0.03840944543480873,0.03770017251372337,0.010649999603629112,0.31732800602912903
cg08899626,0.1108,0.1757,0.353,0.1577,0.6433,0.1152,0.0842,0.0829,0.08185047656297684,0.0963553935289383,0.05524861812591553,0.061444103717803955,0.030419999733567238,0.13429999351501465
cg05612506,0.924,0.906,0.8998,0.907,0.912,0.9242,0.9117,0.8682,0.8245072364807129,0.9270282983779907,0.8527464270591736,0.9150210022926331,0.9590299725532532,0.3749519884586334
cg01105256,0.0464,0.087,0.2598,0.0704,0.3496,0.0551,0.0524,0.0826,0.05752762034535408,0.09127222001552582,0.06622277200222015,0.03792857751250267,0.04950999841094017,0.07125700265169144
cg03340036,0.7392,0.8902,0.876,0.8878,0.8918,0.0686,0.8593,0.7558,0.8665574789047241,0.9161875247955322,0.8913173675537109,0.8732198476791382,0.9380999803543091,0.8509269952774048
cg05045933,0.9678,0.9675,0.9626,0.9618,0.9656,0.9596,0.9806,0.9179,0.9524908065795898,0.5040735006332397,0.9246413111686707,0.9753473997116089,0.9805099964141846,0.9091328382492065
cg01706334,0.9401,0.9453,0.942,0.9314,0.9438,0.9302,0.9423,0.9179,0.920917272567749,0.9424089789390564,0.9070385694503784,0.9308165311813354,0.28143998980522156,0.742455005645752
cg01715680,0.8884,0.9004,0.8912,0.8751,0.8976,0.8842,0.8962,0.8114,0.3687979280948639,0.9213313460350037,0.8907248377799988,0.8886929154396057,0.0,0.8837920427322388
cg09029902,0.0601,0.5112,0.1396,0.4107,0.1214,0.0614,0.7092,0.435,0.046111274510622025,0.8465102910995483,0.21257223188877106,0.05031965300440788,0.05079000070691109,0.31839001178741455
cg20277282,0.9562,0.9676,0.9612,0.965,0.9695,0.9478,0.9822,0.7357,0.9230923652648926,0.8848323225975037,0.8670632243156433,0.4998381733894348,0.9765099883079529,0.8095799684524536
cg18250453,0.8964,0.101,0.8777,0.7941,0.8903,0.8897,0.9232,0.7506,0.8011718392372131,0.8352808952331543,0.7236007452011108,0.8892420530319214,0.8019999861717224,0.757017970085144
cg27586417,0.1698,0.8577,0.8448,0.8532,0.8596,0.0608,0.8378,0.799,0.808138370513916,0.8391276001930237,0.8560307025909424,0.7680249810218811,0.886929988861084,0.814073920249939
