,Monocytes,Bcells,CD4Tcells,NK,CD8Tcells,Neutrophils,MEP,Endothelial,Microglia,Neuron,Astrocytes,Oligodendrocytes,Fibroblast
cg07608474,0.9128,0.8761,0.8684,0.8827,0.8709,0.9054,0.9553,0.914,0.2991248071193695,0.8841174840927124,0.89305180311203,0.8755701184272766,0.9250100255012512
cg19755815,0.8824,0.0676,0.692,0.8548,0.6951,0.8686,0.9317,0.8126,0.8611634373664856,0.8999701738357544,0.8493008613586426,0.8545650839805603,0.8947799801826477
cg03988119,0.0268,0.0236,0.025,0.0307,0.0236,0.0287,0.024,0.0264,0.028809817507863045,0.5199304819107056,0.033014919608831406,0.030570004135370255,0.04159000143408775
cg13369325,0.0364,0.1078,0.048,0.0383,0.0532,0.0331,0.0308,0.4262,0.047895364463329315,0.28447267413139343,0.11618047207593918,0.06464362144470215,0.04960000142455101
cg04233620,0.6609,0.7789,0.7162,0.8497,0.7324,0.8398,0.838,0.5958,0.7847948670387268,0.8413521647453308,0.07548539340496063,0.8616743683815002,0.0
cg19136632,0.0164,0.0174,0.0152,0.0571,0.0173,0.0137,0.0183,0.2328,0.018802862614393234,0.29336920380592346,0.19756050407886505,0.6686474680900574,0.45375001430511475
cg27506442,0.3052,0.0471,0.03,0.0263,0.0209,0.1756,0.3979,0.4804,0.6718926429748535,0.3199010193347931,0.6226929426193237,0.24822357296943665,0.13530999422073364
cg16675054,0.9528,0.9764,0.9764,0.978,0.9799,0.9764,0.9822,0.9272,0.8302391171455383,0.9370343089103699,0.21809713542461395,0.40796080231666565,0.9238899946212769
cg11295183,0.8993,0.8968,0.8958,0.8992,0.9076,0.894,0.9041,0.3772,0.8838295340538025,0.861319899559021,0.8702419996261597,0.8825152516365051,0.8868299722671509
cg07204662,0.9434,0.9586,0.9521,0.96,0.9632,0.9156,0.9816,0.473,0.9378081560134888,0.6691762804985046,0.7935422658920288,0.798671305179596,0.04879000037908554
cg23261919,0.0297,0.047,0.0352,0.0351,0.0338,0.0298,0.0252,0.1338,0.039766959846019745,0.5913965702056885,0.07199302315711975,0.5727565884590149,0.022870000451803207
cg01696784,0.9694,0.9699,0.9604,0.9608,0.9624,0.9596,0.9815,0.8693,0.9542139768600464,0.6865955591201782,0.3645842969417572,0.4515591263771057,0.9697999954223633
cg14245804,0.0168,0.117,0.46,0.2219,0.5409,0.0192,0.0049,0.0525,0.04514018073678017,0.7863543033599854,0.01604190096259117,0.013829999603331089,0.1532299965620041
cg15025769,0.0061,0.0066,0.0089,0.0066,0.0056,0.0042,0.0,0.0089,0.007956605404615402,0.016999999061226845,0.006587459240108728,0.009439722634851933,0.0
cg06767326,0.9262,0.9266,0.9291,0.9241,0.9291,0.9288,0.8858,0.5802,0.9250655174255371,0.9017972350120544,0.904353678226471,0.9192065000534058,0.962909996509552
cg24838029,0.0198,0.0275,0.0316,0.0251,0.0234,0.0222,0.0044,0.0421,0.018354998901486397,0.49236592650413513,0.017594443634152412,0.05073361471295357,0.013220000080764294
cg02193956,0.0435,0.6797,0.8709,0.7949,0.893,0.0331,0.5335,0.7494,0.1689338982105255,0.8884751200675964,0.8682507276535034,0.8462141752243042,0.7049999833106995
cg06585734,0.3963,0.898,0.9081,0.9012,0.9109,0.744,0.9289,0.8919,0.08251803368330002,0.9153491854667664,0.8914076089859009,0.887551486492157,0.9532700181007385
cg19097880,0.6968,0.037,0.0419,0.0447,0.0492,0.6616,0.5017,0.7242,0.7423743605613708,0.8007246255874634,0.7988230586051941,0.8215986490249634,0.8691700100898743
cg02852670,0.9137,0.9194,0.9072,0.9087,0.905,0.9096,0.9273,0.2658,0.778912365436554,0.16113582253456116,0.08280283957719803,0.022995835170149803,0.0
cg05998301,0.8888,0.8965,0.8582,0.8862,0.8645,0.8896,0.9101,0.7858,0.8730505108833313,0.9123780727386475,0.15265382826328278,0.8601915240287781,0.7463300228118896
cg18670236,0.0404,0.0403,0.0757,0.0362,0.0472,0.0359,0.0287,0.2043,0.04114624485373497,0.8540659546852112,0.11907140910625458,0.8662999868392944,0.30546998977661133
cg24679453,0.9705,0.9709,0.9718,0.965,0.971,0.9678,0.9871,0.7375,0.9697950482368469,0.8454706072807312,0.11715221405029297,0.5957937836647034,0.2789100110530853
cg01610123,0.0658,0.8771,0.856,0.7916,0.8451,0.1222,0.843,0.6587,0.01878303289413452,0.8837930560112,0.8346054553985596,0.8072235584259033,0.8688799738883972
cg18154567,0.7835,0.8683,0.8219,0.8333,0.833,0.8833,0.925,0.3044,0.05758321285247803,0.3083716034889221,0.7265424728393555,0.579758882522583,0.34762001037597656
cg17153138,0.0517,0.0467,0.0485,0.051,0.0448,0.0479,0.0256,0.064,0.04379749670624733,0.6252500414848328,0.05876651033759117,0.6824160218238831,0.0
cg01098178,0.0758,0.1281,0.2137,0.2962,0.2242,0.0792,0.0377,0.0806,0.08603037148714066,0.1368248164653778,0.06199586018919945,0.0727199912071228,0.03514000028371811
cg01804183,0.903,0.8589,0.3275,0.8464,0.4587,0.8909,0.8538,0.8559,0.8531960248947144,0.896669328212738,0.622986376285553,0.8795794248580933,0.9027400016784668
cg02027263,0.899,0.27,0.8977,0.8591,0.8969,0.8944,0.9304,0.8685,0.8610726594924927,0.8533919453620911,0.8771723508834839,0.8707425594329834,0.9030500054359436
cg12226453,0.9587,0.9528,0.936,0.4119,0.6598,0.9494,0.978,0.9278,0.9622508883476257,0.9639527797698975,0.9525827169418335,0.9244298934936523,0.9648000001907349
cg13790603,0.0186,0.0276,0.0828,0.0611,0.2147,0.022,0.0204,0.032,0.016625890508294106,0.02284950017929077,0.014697778038680553,0.0170405562967062,0.021609999239444733
cg22236626,0.0974,0.1645,0.1157,0.3748,0.146,0.1108,0.0935,0.3807,0.09095733612775803,0.11168810725212097,0.09826872497797012,0.08046611398458481,0.07270000129938126
cg13930790,0.012,0.0145,0.0155,0.0115,0.0116,0.0148,0.0448,0.0186,0.010679465718567371,0.020412206649780273,0.012558411806821823,0.01802416704595089,0.040389999747276306
cg01415937,0.0205,0.072,0.0941,0.0256,0.0776,0.0206,0.0212,0.3393,0.035551782697439194,0.4981454908847809,0.028523175045847893,0.7180322408676147,0.0279300007969141
cg06110802,0.805,0.6673,0.2203,0.7872,0.1744,0.7779,0.8513,0.8632,0.8253465890884399,0.7148710489273071,0.8967057466506958,0.8846123218536377,0.9234399795532227
cg05101437,0.045,0.0657,0.1975,0.0476,0.1856,0.0418,0.074,0.0726,0.04140875115990639,0.3161466121673584,0.03998413309454918,0.7122333645820618,0.030419999733567238
cg08369368,0.0177,0.079,0.22,0.0277,0.2768,0.0137,0.0058,0.0504,0.015147856436669827,0.03931629657745361,0.21818839013576508,0.008116111159324646,0.006490000057965517
cg09554701,0.9054,0.9097,0.9207,0.9021,0.9226,0.9087,0.8798,0.8697,0.8825021982192993,0.8365105986595154,0.7754365801811218,0.19033028185367584,0.9004899859428406
cg24732137,0.0078,0.0967,0.0427,0.0173,0.0965,0.0068,0.0051,0.0114,0.008376785553991795,0.011404300108551979,0.007707459386438131,0.010276388376951218,0.0032399999909102917
cg02110830,0.8929,0.9055,0.9078,0.91,0.9081,0.9025,0.8421,0.8875,0.09585213661193848,0.9144512414932251,0.883010983467102,0.9076836109161377,0.8996099829673767
cg23096305,0.8525,0.8813,0.8658,0.881,0.873,0.879,0.911,0.3566,0.8715438842773438,0.7707571387290955,0.48646244406700134,0.8706375956535339,0.0
cg22234930,0.0453,0.4756,0.0765,0.3149,0.0775,0.0436,0.5856,0.1163,0.5366158485412598,0.2929612398147583,0.0493176244199276,0.6097785234451294,0.026729999110102654
cg03068030,0.8116,0.8922,0.9304,0.5746,0.9403,0.9026,0.9336,0.8868,0.14585287868976593,0.9309858679771423,0.9236150979995728,0.9362858533859253,0.9121599793434143
cg23069297,0.9739,0.9755,0.9713,0.9688,0.9709,0.9659,0.9861,0.9633,0.9817164540290833,0.5642918944358826,0.9715074300765991,0.9655171632766724,0.9654300212860107
cg10842515,0.0644,0.0634,0.0647,0.0659,0.0606,0.0667,0.0344,0.1011,0.5132521986961365,0.25463318824768066,0.06681634485721588,0.08438917249441147,0.08669000118970871
cg12520319,0.0687,0.1297,0.0708,0.1993,0.0636,0.2041,0.3763,0.1861,0.0642482116818428,0.1629812866449356,0.06843715161085129,0.24898198246955872,0.05990999937057495
cg20996351,0.0434,0.0522,0.197,0.0624,0.2252,0.0431,0.0127,0.441,0.04172035679221153,0.26606830954551697,0.3822961151599884,0.011739443987607956,0.9618300199508667
cg20805133,0.9295,0.371,0.0275,0.4103,0.0282,0.9166,0.962,0.1023,0.05627768486738205,0.2000826597213745,0.39987578988075256,0.09494417160749435,0.017559999600052834
cg05058167,0.0593,0.153,0.3494,0.1729,0.52,0.0572,0.0285,0.063,0.05561232939362526,0.10488829016685486,0.08580984175205231,0.030325280502438545,0.018650000914931297
cg14582550,0.9255,0.9192,0.9204,0.925,0.9209,0.924,0.8796,0.2384,0.9059140086174011,0.8326051831245422,0.8610323071479797,0.9016746878623962,0.8642399907112122
cg18157738,0.9371,0.9195,0.9124,0.9264,0.9067,0.9292,0.9733,0.5783,0.9389234185218811,0.7945469617843628,0.8796626329421997,0.9334797263145447,0.9495700001716614
cg01874152,0.9192,0.8172,0.0827,0.8279,0.3658,0.9045,0.7858,0.7044,0.8678668141365051,0.910041093826294,0.8732542991638184,0.8811746835708618,0.8839499950408936
cg02076607,0.9643,0.9545,0.9529,0.9584,0.9644,0.9428,0.9774,0.6836,0.959858775138855,0.9203912615776062,0.8505838513374329,0.8661289811134338,0.9710299968719482
cg05441854,0.011,0.0578,0.3272,0.1204,0.3493,0.0174,0.0057,0.4872,0.010216965340077877,0.3521714508533478,0.3932339549064636,0.20718079805374146,0.7256600260734558
cg08774207,0.0592,0.0982,0.0756,0.0716,0.0837,0.0642,0.0548,0.0696,0.07548876851797104,0.23105816543102264,0.06389062106609344,0.0468352809548378,0.9095500111579895
cg26546113,0.7601,0.6038,0.2327,0.4456,0.2486,0.7484,0.6765,0.4494,0.5371490716934204,0.29036659002304077,0.0881439745426178,0.061226945370435715,0.3012300133705139
cg09979311,0.9528,0.9546,0.9487,0.9481,0.953,0.947,0.9793,0.9364,0.9642547369003296,0.9539775252342224,0.7674993872642517,0.5292383432388306,0.9768800139427185
cg02099572,0.7554,0.7655,0.7994,0.7794,0.7946,0.7812,0.832,0.1102,0.7725874781608582,0.4216614067554474,0.8845651149749756,0.8543274402618408,0.1787099987268448
cg06633978,0.0419,0.0415,0.0388,0.0416,0.04,0.0652,0.0415,0.4154,0.8370630145072937,0.848991870880127,0.12219445407390594,0.6839397549629211,0.47828999161720276
cg01649317,0.9747,0.961,0.972,0.9748,0.9714,0.9711,0.9867,0.9664,0.989573061466217,0.633671224117279,0.973633885383606,0.9822952747344971,0.9879599809646606
cg06201680,0.0074,0.008,0.0113,0.0057,0.0114,0.0061,0.0075,0.3074,0.011548751965165138,0.4169446527957916,0.1015511080622673,0.020573057234287262,0.022450000047683716
cg10419343,0.0218,0.0296,0.0364,0.1043,0.0392,0.0221,0.0077,0.0276,0.02218339778482914,0.07244940102100372,0.03473745286464691,0.021250836551189423,0.021469999104738235
cg02880444,0.0768,0.2356,0.3826,0.4569,0.4284,0.0658,0.0844,0.0912,0.059755537658929825,0.26369157433509827,0.06613048166036606,0.07996445149183273,0.12099999934434891
cg09695362,0.0719,0.1094,0.0751,0.0796,0.0731,0.0678,0.067,0.1038,0.518097996711731,0.2516264021396637,0.06022936478257179,0.09333387762308121,0.03378000110387802
cg12634591,0.077,0.125,0.106,0.0742,0.1203,0.0747,0.0608,0.4849,0.06895070523023605,0.10426899045705795,0.1071847528219223,0.06222749501466751,0.0575999990105629
cg14516183,0.2412,0.9064,0.9039,0.8936,0.9098,0.0416,0.9144,0.818,0.7839943766593933,0.9224150776863098,0.8911033868789673,0.8860644698143005,0.9354699850082397
cg18701970,0.8783,0.8753,0.8703,0.7965,0.8842,0.8326,0.4648,0.8224,0.9063774347305298,0.9409348368644714,0.9062325358390808,0.9159449338912964,0.9054800271987915
cg16448702,0.7698,0.9642,0.9379,0.5107,0.9432,0.7168,0.9718,0.8692,0.9554327130317688,0.9722451567649841,0.9494150280952454,0.9669602513313293,0.952750027179718
cg24913168,0.9659,0.9636,0.9639,0.9618,0.966,0.9624,0.9784,0.638,0.9467791318893433,0.6101612448692322,0.9159994125366211,0.9037801027297974,0.18261000514030457
cg12216435,0.6801,0.0223,0.0751,0.0696,0.0743,0.5817,0.735,0.4262,0.6207721829414368,0.8409852385520935,0.7016897797584534,0.7447822093963623,0.6970199942588806
cg14391345,0.9426,0.9428,0.9352,0.9401,0.9461,0.9441,0.9677,0.9094,0.9273373484611511,0.8755007386207581,0.8464933037757874,0.4503938853740692,0.9723100066184998
cg00168785,0.0496,0.1083,0.416,0.0991,0.407,0.0517,0.0365,0.061,0.03324482589960098,0.09221149235963821,0.07730653136968613,0.055402208119630814,0.05237000063061714
cg21210531,0.7662,0.8888,0.9275,0.8783,0.9336,0.735,0.9129,0.2452,0.42307087779045105,0.2344624102115631,0.24105283617973328,0.06939110159873962,0.0
cg14936008,0.9133,0.1176,0.9082,0.9144,0.9113,0.9065,0.9331,0.8304,0.8990225791931152,0.824657142162323,0.6941007971763611,0.784607470035553,0.8452399969100952
cg07548791,0.0385,0.629,0.6597,0.5927,0.7553,0.0835,0.4856,0.2833,0.01696142740547657,0.271167516708374,0.3798937201499939,0.46139949560165405,0.9000499844551086
cg15703314,0.8991,0.8856,0.8613,0.3051,0.8278,0.8873,0.9136,0.892,0.9027529358863831,0.9008079767227173,0.8706478476524353,0.8898540139198303,0.9299299716949463
cg13844341,0.4608,0.8872,0.8789,0.8721,0.8797,0.15,0.9075,0.8274,0.8820365071296692,0.9233381748199463,0.8610836267471313,0.8817872405052185,0.8936600089073181
cg23247274,0.1302,0.0166,0.1512,0.1123,0.0555,0.0604,0.0164,0.022,0.0331449992954731,0.0929591953754425,0.012096507474780083,0.013637223280966282,0.012570000253617764
cg17050984,0.8938,0.8877,0.8766,0.8746,0.8688,0.8784,0.3473,0.6792,0.9066147208213806,0.7552778720855713,0.826234757900238,0.8549700975418091,0.9079999923706055
cg00050618,0.856,0.4081,0.1147,0.5311,0.1144,0.8493,0.9082,0.8507,0.9141839146614075,0.9328653216362,0.8502151966094971,0.8918892741203308,0.9115800261497498
cg16179125,0.0166,0.0179,0.0179,0.0159,0.0194,0.0187,0.0068,0.0161,0.01659017987549305,0.40006789565086365,0.2694101929664612,0.025087781250476837,0.011490000411868095
cg19915997,0.8656,0.8534,0.825,0.166,0.8068,0.8611,0.9125,0.7747,0.8910502195358276,0.9206221103668213,0.7989372611045837,0.8500323295593262,0.7730100154876709
cg24747122,0.918,0.9242,0.9371,0.934,0.9423,0.911,0.9343,0.4778,0.8604773283004761,0.9213342070579529,0.9100355505943298,0.8969650268554688,0.9292700290679932
cg05659526,0.7991,0.8775,0.8662,0.876,0.8846,0.8226,0.9184,0.837,0.1740690916776657,0.8908723592758179,0.8631337285041809,0.8748764395713806,0.8989099860191345
cg08230695,0.026,0.024,0.026,0.0261,0.0241,0.0231,0.009,0.0304,0.0351664237678051,0.805641233921051,0.019495872780680656,0.03652360662817955,0.0
cg13939078,0.9316,0.934,0.927,0.9297,0.9287,0.9268,0.9143,0.902,0.9231172204017639,0.866655707359314,0.06826159358024597,0.23716722428798676,0.6550400257110596
cg12799885,0.0061,0.0052,0.01,0.0076,0.0064,0.0065,0.006,0.072,0.013229645788669586,0.05145927518606186,0.009137301705777645,0.01205083355307579,0.0
cg01041239,0.079,0.8562,0.7952,0.9186,0.8118,0.7984,0.8884,0.2,0.03886893391609192,0.34985190629959106,0.08334603160619736,0.07328138500452042,0.0019099999917671084
cg13133835,0.0107,0.0795,0.5748,0.0637,0.3638,0.0117,0.0269,0.3838,0.0144071439281106,0.05797139182686806,0.0966658741235733,0.07110695540904999,0.07835999876260757
cg22843803,0.5077,0.3461,0.0462,0.2756,0.0647,0.2442,0.7171,0.0823,0.3393249213695526,0.8097048997879028,0.6386464834213257,0.8953917026519775,0.07362999767065048
cg23954655,0.1264,0.0652,0.0741,0.1514,0.0831,0.7394,0.6498,0.3593,0.08272624015808105,0.7974607944488525,0.6821074485778809,0.7360318899154663,0.7398200035095215
cg26166854,0.9003,0.8923,0.1259,0.7072,0.3239,0.904,0.8394,0.7484,0.8635985255241394,0.4029383957386017,0.8591904640197754,0.8917839527130127,0.8868899941444397
cg25826463,0.1224,0.4633,0.8801,0.4846,0.8971,0.1612,0.3314,0.3894,0.024433929473161697,0.44400838017463684,0.02528444305062294,0.01881278306245804,0.00011000000085914508
cg16998950,0.2028,0.8098,0.9062,0.8878,0.9164,0.1053,0.8871,0.8398,0.8204494118690491,0.8724105358123779,0.8874547481536865,0.8578789234161377,0.9400699734687805
cg14559388,0.0317,0.0654,0.0636,0.0475,0.0588,0.0427,0.0318,0.0694,0.054011426866054535,0.5884960293769836,0.6681899428367615,0.5845399498939514,0.09764000028371811
cg02464979,0.9549,0.9499,0.9462,0.9464,0.9455,0.9421,0.9715,0.9037,0.9671738743782043,0.5180644392967224,0.4561290442943573,0.11218611150979996,0.9538499712944031
cg19682870,0.8602,0.8674,0.1568,0.8369,0.1934,0.8554,0.9386,0.8264,0.9201735854148865,0.8481229543685913,0.7730169296264648,0.8604671955108643,0.8852599859237671
cg26953293,0.956,0.9494,0.9489,0.9475,0.9549,0.9467,0.9835,0.9245,0.9540125131607056,0.9049934148788452,0.8058333396911621,0.43642446398735046,0.9611200094223022
cg19405895,0.8985,0.9081,0.8876,0.9004,0.9101,0.898,0.9171,0.8674,0.9236820936203003,0.9290859699249268,0.7116881608963013,0.9057460427284241,0.19428999722003937
cg18895476,0.4826,0.7567,0.7575,0.071,0.4467,0.4026,0.2772,0.8378,0.6984129548072815,0.7631161212921143,0.8890385031700134,0.9082069396972656,0.8883000016212463
cg10220544,0.0601,0.8379,0.7712,0.8513,0.814,0.0285,0.8218,0.3828,0.47335389256477356,0.626052737236023,0.6194553971290588,0.4595147371292114,0.04879000037908554
cg23681616,0.9196,0.9191,0.913,0.9125,0.9171,0.9176,0.9552,0.9146,0.9095190763473511,0.9089897274971008,0.6224940419197083,0.32020440697669983,0.9569600224494934
cg08171667,0.8968,0.6319,0.8541,0.1819,0.7728,0.8931,0.9358,0.8558,0.9000552892684937,0.9109793305397034,0.863416850566864,0.8748597502708435,0.936489999294281
cg18445426,0.9388,0.524,0.9247,0.9228,0.927,0.9237,0.9425,0.8892,0.9250868558883667,0.9432329535484314,0.8998153805732727,0.92324298620224,0.9413599967956543
cg11209521,0.8886,0.8102,0.8726,0.8775,0.9051,0.8699,0.3201,0.7004,0.8571006655693054,0.9002918004989624,0.8728471398353577,0.8711217641830444,0.9454200267791748
cg08133699,0.918,0.9145,0.9165,0.9143,0.9204,0.9129,0.882,0.767,0.9069103002548218,0.9162788391113281,0.7415990829467773,0.9009574055671692,0.10221999883651733
cg16701059,0.0294,0.1954,0.0489,0.0233,0.0655,0.0205,0.0072,0.2477,0.4931894838809967,0.08002679795026779,0.04551936313509941,0.03601527959108353,0.34022000432014465
cg26648465,0.9014,0.9708,0.9533,0.3163,0.9655,0.8595,0.9598,0.9544,0.9731229543685913,0.9773372411727905,0.9682913422584534,0.955933153629303,0.9861199855804443
cg03585017,0.804,0.8723,0.8924,0.8903,0.9033,0.8962,0.9182,0.8687,0.11224444955587387,0.9132669568061829,0.8610396385192871,0.8735122084617615,0.8474199771881104
cg20967028,0.8826,0.9103,0.9148,0.905,0.8462,0.8145,0.8642,0.4212,0.903874397277832,0.9332658648490906,0.9011176824569702,0.9147337675094604,0.9349799752235413
cg16429499,0.0715,0.4089,0.9026,0.8905,0.9026,0.8783,0.9022,0.8353,0.06370178610086441,0.9323599934577942,0.8069899082183838,0.7917683124542236,0.9255399703979492
cg22829799,0.9636,0.9626,0.9603,0.9605,0.9609,0.9545,0.9775,0.9268,0.9634223580360413,0.5050419569015503,0.9469477534294128,0.9559654593467712,0.9527300000190735
cg00009088,0.0902,0.8381,0.8817,0.9008,0.9092,0.0577,0.9006,0.8436,0.7051964998245239,0.8476564288139343,0.8936673402786255,0.9038293361663818,0.9518399834632874
cg18328702,0.9623,0.9689,0.9609,0.9621,0.9626,0.9508,0.9402,0.9478,0.9320113062858582,0.5520091652870178,0.9561718106269836,0.9441476464271545,0.9721199870109558
cg07804711,0.0428,0.0449,0.0457,0.0406,0.0323,0.0453,0.026,0.0532,0.05018589273095131,0.8965036869049072,0.09894778579473495,0.11074583232402802,0.04950999841094017
cg26103369,0.9077,0.9131,0.8952,0.9032,0.9128,0.863,0.2601,0.8788,0.9127338528633118,0.929572343826294,0.8801464438438416,0.8950302600860596,0.9130300283432007
cg12582959,0.0646,0.0818,0.4773,0.2211,0.4802,0.0722,0.0495,0.1227,0.050993748009204865,0.10776479542255402,0.09532127529382706,0.05057249963283539,0.11665000021457672
cg17509989,0.247,0.3827,0.4619,0.2692,0.4765,0.3869,0.2796,0.231,0.4248749911785126,0.05509388446807861,0.008428412489593029,0.01223305705934763,0.015320000238716602
cg04440811,0.8379,0.1163,0.8716,0.8359,0.8769,0.7867,0.8423,0.8231,0.8974096179008484,0.9303017258644104,0.8582797646522522,0.8099122643470764,0.6722300052642822
cg26501450,0.9671,0.9595,0.9589,0.962,0.9664,0.9583,0.9806,0.8583,0.9685563445091248,0.5237854719161987,0.9564034342765808,0.9537743330001831,0.9765200018882751
cg21262776,0.9452,0.9415,0.9421,0.9324,0.9401,0.9364,0.9646,0.8822,0.938395082950592,0.9213427901268005,0.7587899565696716,0.4283238649368286,0.9033100008964539
cg19949589,0.0058,0.0086,0.0073,0.0079,0.0064,0.0044,0.0269,0.0026,0.005701251327991486,0.012551798485219479,0.0070314290933310986,0.00817305501550436,0.03449000045657158
cg02962602,0.5569,0.4813,0.3268,0.2805,0.2305,0.4945,0.6419,0.1808,0.1174178496003151,0.07676199823617935,0.04753714054822922,0.04716916382312775,0.03852999955415726
cg18310515,0.8847,0.8798,0.7894,0.1228,0.6305,0.8737,0.8391,0.8364,0.8831840753555298,0.9118759036064148,0.8360270261764526,0.8341408371925354,0.8528800010681152
cg11335172,0.924,0.9344,0.8907,0.1164,0.7292,0.8953,0.8941,0.8868,0.9408174157142639,0.939043402671814,0.8477794528007507,0.9194722771644592,0.860729992389679
cg03860768,0.8925,0.0473,0.8393,0.8572,0.8275,0.8626,0.8944,0.8185,0.8750911355018616,0.8491883277893066,0.5585446953773499,0.20825275778770447,0.7473999857902527
cg18108087,0.0355,0.0404,0.1998,0.0419,0.0773,0.0385,0.0195,0.0435,0.030840354040265083,0.07577399909496307,0.04517873749136925,0.04400250315666199,0.029829999431967735
cg25952192,0.6354,0.6511,0.0624,0.1109,0.0696,0.7479,0.5237,0.3105,0.7785846590995789,0.4778604805469513,0.23147715628147125,0.5880780220031738,0.06453999876976013
cg26337070,0.43,0.7951,0.9228,0.8778,0.9408,0.5379,0.6877,0.1852,0.7734403014183044,0.13484621047973633,0.019365396350622177,0.036081667989492416,0.0
cg19825589,0.4844,0.0086,0.0137,0.0165,0.0152,0.4399,0.2868,0.3502,0.5135461688041687,0.8638774752616882,0.5616592168807983,0.5345900058746338,0.5836399793624878
cg07469981,0.0378,0.0349,0.0413,0.1354,0.0457,0.0425,0.0395,0.0592,0.03166767209768295,0.0744432881474495,0.040542859584093094,0.04834917187690735,0.03409000113606453
