"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022618","BP","GO:0022618","ribonucleoprotein complex assembly","82/2647","220/18723",8.43174629751088e-18,4.6811522398999e-15,3.56311881816345e-15,"HSP90AB1/RUVBL2/SF3B1/XRCC5/RBMXL1/RPSA/RPLP0/RPL5/DDX1/RPL3/RPS5/SF3A1/ADAR/PUF60/LUC7L2/RPS14/EIF3I/EIF2S3/PRMT5/STRAP/PSIP1/RPL10/EIF3CL/CPSF6/NUDT21/SART3/RPS19/PRPF6/SNRPD3/PTGES3/EIF3F/EIF3L/EIF4B/EIF3G/CPSF7/EIF2S2/EIF3B/RPL11/RPS27/SF3A3/LUC7L/EIF5/SRSF9/PRPF31/RPL24/DDX23/SNRPB/RPL38/SNRPGP15/DENR/EIF3M/LSM2/EIF3H/CELF1/EIF3D/EIF3E/LSM4/SRPK2/DHX30/NOL3/RPS15/AGO1/GEMIN5/PRPF3/SNRPE/NCBP1/NOP2/EIF3K/SF3A2/SNRPF/CRNKL1/CD2BP2/XAB2/DHX29/PIH1D1/NLE1/EIF2D/SNRPC/MRPS7/POLR2D/AGO2/GCFC2",82
"GO:0016197","BP","GO:0016197","endosomal transport","81/2647","230/18723",6.1598123629818e-16,2.78317404760232e-13,2.11844847486695e-13,"CLTC/DCTN1/EEA1/SCRIB/RAB7A/DCLK1/VPS35/RAB14/RAB11B/EHD1/RAB6B/USP7/ARL8B/PICALM/RAB10/YKT6/SNX12/SPAG9/RAB8A/RAB35/SNX3/VPS51/LAMTOR1/VPS29/HGS/RAB13/SNX27/UBE2O/VPS26B/ARFIP1/CHMP4B/EHD4/VPS16/SORL1/SORT1/PTPN23/SQSTM1/AP3B1/SNX6/TOM1/SNX18/CCDC22/UBXN6/VPS4A/EHD2/CHMP6/EPS15L1/VTI1B/ATP9A/ERC1/TBC1D10B/GRIPAP1/VTA1/VPS28/REPS1/WASH6P/RBSN/GBF1/STX16/STX5/SNX9/ARHGAP44/CCDC93/BLOC1S2/MICALL2/SNX4/TBC1D17/LEPROT/ARF6/SNX8/TBC1D10A/PREPL/VPS25/CHMP2B/TMEM50B/DENND1A/TBC1D5/ITSN1/WAS/CHMP1A/ACAP2",81
"GO:1902905","BP","GO:1902905","positive regulation of supramolecular fiber organization","76/2647","209/18723",6.54182771956831e-16,2.78317404760232e-13,2.11844847486695e-13,"FLNA/HSPA1B/GSN/WDR1/APOE/CLU/DCTN1/FERMT2/ACTR3/CYFIP1/MAPRE1/CTTN/ACTR2/CORO1B/NCKAP1/CKAP5/CDC42/RHOA/HIP1R/ARPC1A/SCIN/RHOC/ARPC1B/RAC1/GMFB/ABI2/CLASP1/ROCK2/ARPC4/APP/CCDC88A/MECP2/GIT1/GRB2/WASF2/EVL/ARPC3/SYNPO/LIMCH1/PFN2/ARFIP1/MTOR/COLGALT1/ARFIP2/STMN2/SORBS3/CD47/BAIAP2/WASL/ARPIN/AKAP9/WASF3/SPIRE1/MLST8/BRK1/WASH6P/NF2/S100A10/ICAM1/CDC42EP1/ARL2/SNX9/SDC4/MYLK3/SLAIN2/ARF6/LPAR1/NCK2/SLAIN1/PLEK/CDKN1B/PSRC1/WAS/PSEN1/CDK5RAP2/TENM1",76
"GO:1990778","BP","GO:1990778","protein localization to cell periphery","104/2647","333/18723",6.75660232460446e-16,2.78317404760232e-13,2.11844847486695e-13,"SPTBN1/FLNA/ACTB/CLTC/ANXA2/ANK2/EZR/RDX/EGFR/ATP2B4/SCRIB/FLOT1/RAB7A/KIF5B/VPS35/MYO5A/GNAI1/BSG/FLOT2/LGALS3/PALM/SEC23A/EHD1/RAP1A/APPL1/AP2M1/SLC9A3R1/LIN7C/ANK1/PICALM/RAB10/RAB31/SORBS1/GBP1/SEC16A/TNIK/ROCK2/LIN7A/RAB8A/STX7/CCDC88A/RHOG/RAB8B/DAG1/PPP1R9B/RABEP1/ARL6IP5/CD81/RAB13/RAB3D/EHD4/RAB3C/SLC9A3R2/SPTBN4/SQSTM1/ANK3/EPB41/VPS4A/EHD2/ITGA3/VTI1B/STX4/CDK5/DLG4/RER1/EPHB2/OPTN/AKT1/GRIPAP1/TMED2/DPP10/CSK/S100A10/PPP2R5A/AKT2/GOLGA7/PTPN9/STX8/EXOC5/ADAM10/ARHGAP44/HECTD1/PIK3R1/ARF6/VAMP5/LGI1/DAB2/TUB/MAP7/CDH1/TMBIM1/PREPL/GPC6/CLSTN1/ABI3/RILPL1/PACS1/BCL2L1/LRRC15/MMP14/CACNB2/EFR3B/CPLX1/GPC4",104
"GO:0050684","BP","GO:0050684","regulation of mRNA processing","58/2647","137/18723",6.83602598887095e-16,2.78317404760232e-13,2.11844847486695e-13,"HSPA8/HNRNPA1/HNRNPL/PTBP1/NPM1/RBMXL1/SAFB2/U2AF2/PUF60/KHDRBS1/SAFB/SRSF7/NOVA1/SNRNP70/TRA2B/CPSF6/SRSF3/NUDT21/NOVA2/SRSF2/RAVER1/CPSF7/C1QBP/RBM3/NUP98/FXR2/SNW1/RBM25/SRSF9/RBM10/SMU1/KHDRBS3/SUPT5H/FXR1/RBM15/TIA1/FMR1/CELF1/ZC3H14/SRPK2/SF3B4/RNPS1/RBM8A/LARP7/RNF40/NCBP2/SUPT6H/NCBP1/PCBP4/SAP18/WTAP/PAPOLA/CWC22/MBNL1/MBNL2/RBFOX1/NELFE/CDK11B",58
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","131/2647","463/18723",8.45780268352155e-16,3.22823756176663e-13,2.45721425331784e-13,"HSP90AB1/RUVBL2/SF3B1/XRCC5/NPM1/GLUL/RBMXL1/RPSA/DDX3X/RAN/RPLP0/RPL5/DDX1/PA2G4/RPL3/RPL7/RPS6/RPS21/RPS5/SF3A1/ADAR/RPL7A/PUF60/LUC7L2/RPS14/EIF3I/EIF2S3/PRMT5/STRAP/PSIP1/RPL10/EIF3CL/CPSF6/NUDT21/SART3/SBDS/RPS17/RPS19/PRPF6/SNRPD3/PTGES3/EIF3F/EIF3L/EIF4B/ABCE1/EIF3G/CPSF7/C1QBP/EIF2S2/EIF3B/RPL11/RPS27/WBP11/SF3A3/LUC7L/EIF5/SRSF9/RPS24/RPS25/PRPF31/TRMT112/RPL24/DDX23/SNRPB/RPL26/RPL38/SNRPGP15/DENR/EXOSC4/EIF3M/LSM2/EIF3H/DDX21/CELF1/EIF3D/EIF3E/LSM4/YTHDF2/SRPK2/DHX30/CUL4B/DKC1/NOP9/NOL3/WDR18/RPS15/UTP18/AGO1/EIF2A/GEMIN5/EXOSC5/PRPF3/NPM3/MYBBP1A/SNRPE/NCBP1/NOP2/EIF3K/SF3A2/PIN4/SNRPF/LSM6/CUL4A/CRNKL1/CD2BP2/XAB2/EXOSC3/DDX18/DIS3/NOLC1/GAR1/EXOSC6/DHX29/NOM1/EXOSC7/PES1/NHP2/PIH1D1/NLE1/EIF2D/WDR43/SNRPC/ERI3/MRPS7/POLR2D/DDX56/EXOSC10/AGO2/GCFC2/RSL1D1/WDR3",131
"GO:0031647","BP","GO:0031647","regulation of protein stability","96/2647","298/18723",9.88207059162528e-16,3.54998853547386e-13,2.70211911657073e-13,"FLNA/HSPA8/HSP90AB1/LMNA/HSPA1B/HSPD1/CCT2/ANK2/GSN/PARK7/CCT8/CCT3/MAPK1/PHB/CLU/RTN4/NPM1/FLOT1/CALR/CTNND1/PHB2/PPIB/CCT4/VPS35/RPL5/FLOT2/HIP1R/CDC37/TARDBP/HCFC1/USP7/HSP90AB4P/BAG3/SH3GLB1/DDOST/PIN1/STX12/SUGT1/RPL23/SEC16A/GIPC1/RAB21/ATP1B2/PTGES3/HSP90AA4P/RPL11/CD81/DDRGK1/SEL1L/PFN2/STUB1/CTSA/VPS11/MAPK8IP3/IFI30/DAD1/NAA15/CREB1/ISOC2/KRAS/MT3/DPM3/CUL3/NF2/AAK1/USP47/GOLGA7/RASSF2/TRIM24/GET4/HTT/PDCD10/DDI2/CRTAP/CHP1/STK4/PEX19/CDKN2AIP/BAG2/TRIM21/RAD23A/PIK3R1/CTSH/TELO2/LSS/TBL1X/FAM107A/SYVN1/USP8/AHSP/DERL1/HDAC6/SUMO1/ZBED3/TYROBP/RABL3",96
"GO:1902903","BP","GO:1902903","regulation of supramolecular fiber organization","114/2647","383/18723",1.31398337115528e-15,4.45805358202517e-13,3.3933044251589e-13,"SPTAN1/SPTBN1/FLNA/HSPA8/MAP2/HSPA1B/RDX/GSN/WDR1/PARK7/APOE/CLU/SPTB/DCTN1/CAPZB/FERMT2/DBN1/LIMA1/ACTR3/CYFIP1/MAPRE1/CTTN/ACTR2/CORO1B/ARHGEF2/ADD2/NCKAP1/CKAP5/CAPZA1/CDC42/RHOA/FKBP4/CORO2B/STMN1/HIP1R/ARPC1A/PAK2/SCIN/RHOC/ARPC1B/RAC1/GMFB/ABI2/CLASP1/ROCK2/ARPC4/APP/CCDC88A/MECP2/GIT1/TBCD/GRB2/WASF2/EVL/ARPC3/SYNPO/LIMCH1/PFN2/ARFIP1/TAOK1/MTOR/AEBP1/PAK3/PFDN6/PFDN2/SPTBN4/COLGALT1/ARHGEF7/ARFIP2/PFDN4/STMN2/SORBS3/MAPRE3/CD47/BAIAP2/WASL/ARPIN/AKAP9/WASF3/SPIRE1/MLST8/BRK1/WASH6P/MAP6D1/NF2/FLII/S100A10/PFDN1/CAMSAP2/ICAM1/CDC42EP1/PFDN5/ARL2/CKAP2/SNX9/SDC4/ARFGEF1/ARHGAP35/MYLK3/SLAIN2/PIK3R1/ARF6/LPAR1/NCK2/SLAIN1/PPP1R9A/PLEK/CDKN1B/PSRC1/HDAC6/WAS/PSEN1/CDK5RAP2/TENM1",114
"GO:1903311","BP","GO:1903311","regulation of mRNA metabolic process","93/2647","288/18723",2.3542307656235e-15,7.56699330824354e-13,5.75971360719855e-13,"VIM/HSPA8/HNRNPA1/KHSRP/HNRNPL/PTBP1/PABPC1/NPM1/RBMXL1/HNRNPD/YBX1/APEX1/SAFB2/U2AF2/PABPC4/PUF60/MYEF2/SERBP1/KHDRBS1/SAFB/TARDBP/SRSF7/NOVA1/SNRNP70/CNOT1/TRA2B/CPSF6/SRSF3/NUDT21/NOVA2/SRSF2/DCPS/ROCK2/RAVER1/CPSF7/C1QBP/RBM3/NUP98/FXR2/SNW1/RBM25/SRSF9/RBM10/SMU1/KHDRBS3/LARP1/SUPT5H/FXR1/RBM15/TIA1/MTOR/ELAVL4/FMR1/YTHDF3/CELF1/YTHDF2/ZC3H14/GTPBP1/SRPK2/FTO/YTHDF1/SF3B4/RNPS1/RBM8A/GIGYF2/AKT1/CNOT2/LARP7/RNF40/NCBP2/EXOSC5/SUPT6H/NCBP1/PAIP1/CNOT3/PCBP4/PUM1/SAP18/EXOSC3/DIS3/WTAP/EXOSC7/PAPOLA/METTL3/CWC22/MBNL1/MBNL2/RBFOX1/NELFE/MYD88/CDK11B/POLR2D/AGO2",93
"GO:0016032","BP","GO:0016032","viral process","120/2647","415/18723",2.48389299335554e-15,7.58456725521113e-13,5.77309024139898e-13,"HSPA8/HSP90AB1/HSPA1B/EGFR/GSN/PPIA/ILF3/P4HB/CANX/APOE/STAT1/PHB/PTBP1/PABPC1/EEA1/RPSA/DDX3X/PHB2/LGALS1/SLC3A2/PDCD6IP/RAB7A/RAN/PPIB/RAB1B/CDC42/PSMC3/BSG/SSB/TFRC/ADAR/LTF/VAPB/VAPA/TARDBP/SCARB2/HCFC1/PC/RAB1A/CTBP1/ARL8B/HACD3/MAVS/HLA-DRB1/ROCK2/NOTCH1/KPNA3/MX1/EIF3F/EIF3L/VPS18/SNX3/STOM/EIF3G/ITGA2/EIF3B/DAG1/STAU1/TRIM25/CD81/SNW1/CXADR/LARP1/TOP2A/GSK3B/ITGB3/CHMP4B/TSG101/FMR1/DENR/CD74/CTBP2/DYNLT1/EIF3D/IDE/VPS4A/EIF2AK2/KPNA2/CHMP6/IST1/RRAGA/SRPK2/NUCKS1/NFIA/ISG15/IFIT1/BST2/VTA1/VPS28/BTBD17/LAMTOR5/LARP7/KPNA6/VPS37B/NPC1/SLC20A2/PKN2/ICAM1/CDK1/PPID/IGF2R/PLSCR1/ATG7/BICD1/TRIM21/RAD23A/SPCS3/RSF1/SMARCB1/PPIH/MVB12B/UBP1/HTATSF1/EIF2D/CHMP2B/BCL2L1/ITGA5/LRRC15/CHMP1A/ANO6",120
"GO:0006403","BP","GO:0006403","RNA localization","72/2647","201/18723",9.32505209345115e-15,2.62647589243722e-12,1.99917567261085e-12,"HNRNPA1/CCT2/KHSRP/HNRNPA3/CCT8/CCT3/RUVBL2/NPM1/FLOT1/YBX1/DDX39A/RAN/MVP/CCT4/CKAP5/ALYREF/KIF5C/SSB/KHDRBS1/SRSF7/CPSF6/SRSF3/PRPF6/G3BP2/DDX19B/NUP98/CHTOP/NUP214/NUTF2/PABPN1/AGFG1/NUP155/RFTN1/MAGOHB/FMR1/NUP35/RFTN2/RAE1/RBM8A/CETN2/DKC1/RANBP2/NUP85/ATXN2/POLDIP3/NUP188/NCBP2/SUPT6H/NUP43/NSUN2/NCBP1/NUP160/IGF2BP3/NUP54/NUP62/EXOSC3/ENY2/NUP107/BICD1/AHCTF1/WRAP53/FYTTD1/NHP2/POM121/PIH1D1/XPO5/RBFOX1/NUP37/ZC3H11A/POLR2D/NUP50/EXOSC10",72
