,intercept,f,pval,qval,deltaBeta
cg24406771,0.306812066666667,141.220305198089,1.0327906212116e-27,8.463698231731171e-25,-0.1526427585808835
cg04531363,0.205517133333333,140.387312644872,1.39651733906273e-27,1.07908351162508e-24,-0.15369024256399155
cg25578728,0.346035133333333,137.34376927144,4.22391581874661e-27,2.48623383862719e-24,-0.18654874433345198
cg18232597,0.281864733333333,135.515893498513,8.23837727730867e-27,4.22525549667393e-24,-0.16686683671185176
cg12466037,0.509478933333333,135.351578897091,8.749351783772189e-27,4.4447155251700304e-24,-0.19109539917616625
cg25728206,0.247049733333333,134.912335820781,1.02773465252738e-26,5.09107043528796e-24,-0.15755258814958722
cg15754752,0.2778004,134.858414303797,1.04825498593998e-26,5.16701509452201e-24,-0.15563980698918045
cg11914795,0.208006666666667,133.92961565704,1.47404372953227e-26,6.77917164119532e-24,-0.16467997948016416
cg04622001,0.294058533333333,133.764840823094,1.5660441462838002e-26,7.07604819096622e-24,-0.17796948565524762
cg22171613,0.3383386,133.763141504841,1.5670224297816002e-26,7.07604819096622e-24,-0.16094020936929
cg05635923,0.323668933333333,133.25970181087,1.8856742075561898e-26,8.19889531672995e-24,-0.16381199561860854
cg02598618,0.403969533333333,132.875946622459,2.17171510106262e-26,9.104653036994701e-24,-0.171603097774089
cg05760937,0.3136354,132.615799146126,2.39006915411833e-26,9.87202783522709e-24,-0.15711118900411924
cg09510085,0.380029266666667,131.512118858613,3.59072645200766e-26,1.36720862919964e-23,-0.15513770698977258
cg26511507,0.301587533333333,130.247572800888,5.73086680425265e-26,1.97104214118261e-23,-0.1519088562272201
cg10479629,0.2853878,128.81541107242,9.74587223936782e-26,3.01362357820754e-23,-0.15291104261812066
cg13112511,0.385510066666667,128.409059591098,1.13338095157069e-25,3.40763286789534e-23,-0.1808388879517378
cg26655873,0.374030333333333,126.095065824692,2.68382744291915e-25,6.940935726072111e-23,-0.16722140087870507
cg14758812,0.3090872,124.392935332447,5.0735379312816e-25,1.16666771057012e-22,-0.15255376580459773
cg26614264,0.3720238,123.79116217265,6.358050724305261e-25,1.39749399145595e-22,-0.15086495277325412
cg14875327,0.237345333333333,123.663110379101,6.67108451162005e-25,1.45203277233161e-22,-0.17072795598378454
cg18848959,0.293867733333333,121.0252444692,1.80068605067548e-24,3.33257465834541e-22,-0.18659736526487208
cg04585185,0.479133666666667,121.005374281536,1.81424372128294e-24,3.3545485678403597e-22,-0.21190287835769495
cg10207362,0.383864333333333,120.526488708044,2.17394578067594e-24,3.90365403383247e-22,-0.15164294580107207
cg26671966,0.3645622,119.995348959934,2.65746484013122e-24,4.62994098601574e-22,-0.1899840713997093
cg16639311,0.214982933333333,119.728998398393,2.93929080515371e-24,5.011340034163449e-22,-0.15452805633364453
cg23208717,0.389984,119.340857971749,3.4046990575091e-24,5.683193531349439e-22,-0.16606078235463162
cg14136214,0.561909466666667,118.518406752916,4.65072550542743e-24,7.3795714190782295e-22,-0.17031567607392617
cg10815420,0.368623866666667,118.275058512542,5.10083756094043e-24,7.96682848019001e-22,-0.16410593353789477
cg13471336,0.565130133333333,117.775671673035,6.1665357165809705e-24,9.30296696296211e-22,-0.18290581284379104
cg17370319,0.242506066666667,117.446037757979,6.99004732285445e-24,1.03033612137868e-21,-0.15370920505203456
cg08500510,0.592718933333333,117.345769304794,7.26184681292148e-24,1.0648819654057301e-21,-0.1580802383170864
cg22303758,0.453430733333333,117.263179944495,7.49368956164619e-24,1.0947576166772801e-21,-0.16322200736108394
cg04207632,0.4663886,117.082515506778,8.02713503635735e-24,1.1591788842733301e-21,-0.2076639140888703
cg20838818,0.489179466666667,115.343534726501,1.55819581025854e-23,2.0280784953729202e-21,-0.18423003769036506
cg26521186,0.234640666666667,115.331298144447,1.56549926179208e-23,2.03625345906118e-21,-0.1540009221887068
cg09066997,0.371825466666667,115.046772626659,1.7453765809102402e-23,2.23662043502661e-21,-0.16450023332344804
cg23532322,0.321363066666667,114.884072650913,1.8574338162213e-23,2.35146643502552e-21,-0.16041403298479906
cg02128191,0.493626666666667,114.83996842823,1.88903774098603e-23,2.3884394466884302e-21,-0.17073384282646398
cg14070108,0.502379266666667,114.122438267734,2.48626159543702e-23,3.03747964161419e-21,-0.18478226338206516
cg11486078,0.3006286,112.961586893827,3.88115469664081e-23,4.4967318036134304e-21,-0.15001432946533627
cg10174683,0.460730533333333,112.812003744228,4.11073297699551e-23,4.7290766991657504e-21,-0.16948306038694538
cg26232945,0.309529466666667,112.66318406785,4.3526955490062804e-23,4.96726143974894e-21,-0.15286274983019715
cg07906432,0.384412666666666,112.403696427759,4.80936673859717e-23,5.41089102972227e-21,-0.15884156075115036
cg18074403,0.460290266666667,111.637589883001,6.45887830949825e-23,6.94872047936231e-21,-0.18933496369384034
cg01432329,0.336586866666667,111.507026518549,6.792109635809491e-23,7.25626171281278e-21,-0.16969378254381262
cg08078514,0.359029866666667,111.465943945381,6.90049840358763e-23,7.36810459290945e-21,-0.15273502522648347
cg01433914,0.312938466666667,111.438948271442,6.97266691996885e-23,7.43458253322781e-21,-0.17550120126214303
cg00808511,0.311923,111.200684429377,7.64346810001633e-23,8.00686487090445e-21,-0.15649011373316446
cg17342469,0.1788564,110.939994329388,8.452022359216771e-23,8.75256836468453e-21,-0.15921751589973812
cg00512459,0.319622,110.384146277821,1.0475108451074299e-22,1.0626552373693001e-20,-0.15452380620749112
cg16457797,0.304832866666667,110.133702060652,1.1539506376351099e-22,1.1553314799186001e-20,-0.1587749132163923
cg14016879,0.370361266666667,110.056473029945,1.1889188712390399e-22,1.18379467870196e-20,-0.1540083500138712
cg12621303,0.3646428,109.798690136539,1.3135422336725e-22,1.29173424143561e-20,-0.15645629838524527
cg06534197,0.490036666666667,109.645969015656,1.39348880321979e-22,1.3567369305783802e-20,-0.2069530294443359
cg09656152,0.299145733333333,109.641220958191,1.3960512662286098e-22,1.3578516572274e-20,-0.16912716554119234
cg04078732,0.485197333333333,109.538169392724,1.45284953832788e-22,1.40439404202231e-20,-0.15988743944974315
cg03770952,0.305688266666667,109.366504334286,1.55267342163611e-22,1.48804526441759e-20,-0.15395179806494874
cg10519882,0.358264266666667,109.027441974194,1.77057253526758e-22,1.6726199609323402e-20,-0.17299260814200274
cg05738240,0.306878466666667,108.503463075957,2.16938243131293e-22,1.98441201676563e-20,-0.1593418791316708
cg13582226,0.6172194,108.341425313437,2.31014439490516e-22,2.0967983276550302e-20,-0.1554848089111146
cg02945385,0.292858266666667,108.168110709563,2.4708881639036e-22,2.2244473193978302e-20,-0.20598852500640646
cg00341191,0.4505822,108.10827349035,2.52895947959986e-22,2.26922296925523e-20,-0.18058715921065244
cg17675150,0.411388066666667,108.099671383152,2.5374198243158697e-22,2.2740626884650302e-20,-0.16118468808892888
cg22262702,0.513546133333333,108.040171750341,2.59672349830482e-22,2.3219862814754302e-20,-0.2250549203478528
cg13781158,0.415380933333333,107.864115387273,2.7804923541456797e-22,2.4565293202157202e-20,-0.17015742463054195
cg26607103,0.4557168,107.754462080118,2.9015037468013e-22,2.5498661803189702e-20,-0.19931170135451448
cg11046864,0.5489538,107.689376080465,2.9758223501181797e-22,2.60827172132552e-20,-0.1693623347063894
cg17977273,0.420899066666666,107.441338667503,3.27702789887373e-22,2.83730786119612e-20,-0.15452916736817934
cg09280800,0.3937004,107.38916437944,3.3441905862270597e-22,2.89168672101304e-20,-0.1991272102794605
cg07585257,0.3820016,106.76812612477,4.25840145467597e-22,3.5735759929256804e-20,-0.2148426167705053
cg26460506,0.363546666666667,106.653758253772,4.45236312743596e-22,3.71910538704239e-20,-0.15640275322283614
cg05446471,0.508861266666667,106.085095448337,5.55707466904338e-22,4.5199493557096104e-20,-0.17728085694197127
cg01248385,0.375637066666667,105.044215370578,8.343504854829869e-22,6.50551658914523e-20,-0.1892030436321544
cg14239494,0.458103333333333,104.940693905247,8.688105628899219e-22,6.74252552059667e-20,-0.15848394673819333
cg17408185,0.370732666666667,104.538745179746,1.01673828206915e-21,7.71612942796676e-20,-0.15093106123425143
cg00953443,0.439472266666667,104.50523562562,1.03015988659328e-21,7.80608781504913e-20,-0.17573336099464798
cg03724728,0.515353066666667,104.382335397626,1.08092871077269e-21,8.14738797491074e-20,-0.17156643237388347
cg16252110,0.341728266666667,104.365194379681,1.08820669872123e-21,8.185980363776931e-20,-0.16310339299521692
cg19192626,0.284211733333333,103.878000660422,1.31701759260127e-21,9.713639257222631e-20,-0.1517256081620158
cg24251448,0.577978266666667,103.308684774807,1.6464813429871601e-21,1.18196472573337e-19,-0.18939977523175133
cg19112357,0.401995733333333,103.060225825515,1.81515146785151e-21,1.28543971408206e-19,-0.18042523306830155
cg07028415,0.418756533333333,102.684442223094,2.10387292899438e-21,1.46952319975599e-19,-0.179516804945055
cg06981033,0.458834066666666,102.660281506805,2.12394390969567e-21,1.48094523587783e-19,-0.1808912107276327
cg10071275,0.345213,102.579191166553,2.19272649486886e-21,1.5230386688733101e-19,-0.1726239183829868
cg15686474,0.2983558,101.92542173234,2.83576022754451e-21,1.9220818345606e-19,-0.15096082708546166
cg04485482,0.490829933333334,101.851814406182,2.91913595553481e-21,1.97054548944009e-19,-0.16111429360537066
cg01800148,0.4092858,101.655976957206,3.1531691322408e-21,2.10993219089201e-19,-0.16790216484268122
cg00543364,0.5634246,101.649818379805,3.16082733067617e-21,2.1143461820324602e-19,-0.19221901847263556
cg03724006,0.363579133333333,101.541814173498,3.29821289697645e-21,2.1988602155929903e-19,-0.15635275437718282
cg13739115,0.3764092,101.510890641472,3.33864367536261e-21,2.22135265976939e-19,-0.18301029120636325
cg25448355,0.4628984,101.122538114191,3.89092840352335e-21,2.5420988573036e-19,-0.15514065705527347
cg03687241,0.439912333333333,101.021741461378,4.0487263818814006e-21,2.63310028343955e-19,-0.16750915152107348
cg25922279,0.615677266666667,101.016161854615,4.05764696108473e-21,2.63804026497652e-19,-0.1819078633313792
cg00746446,0.286688933333333,100.775401525663,4.46200314895721e-21,2.8616889499327404e-19,-0.15073183732641832
cg00138926,0.4431116,100.360097347273,5.25711292226157e-21,3.31294618792259e-19,-0.16503137322329203
cg08457620,0.400141,100.158843105334,5.6922369248607105e-21,3.55341919282688e-19,-0.15801726187902387
cg08076955,0.379736866666667,99.7944764680863,6.57429378253463e-21,4.0350206765691996e-19,-0.1827303248734849
cg20123962,0.4949934,99.7739052799681,6.6280071447353e-21,4.0624442600224405e-19,-0.16655224476483732
cg08061524,0.1505872,99.7483593887798,6.69532474523635e-21,4.0999189205139704e-19,-0.16824346567176832
cg18937934,0.424285733333333,99.5635574886094,7.20323225385212e-21,4.362731758014071e-19,-0.1538471242915772
cg04842880,0.4982142,98.9192781377052,9.29699244551367e-21,5.500251207272351e-19,-0.15804058700969814
cg10511332,0.319224066666666,98.8750212510763,9.46151200538874e-21,5.585966954654931e-19,-0.18205192173310758
cg19983403,0.299354,98.7546965905153,9.92375996384553e-21,5.81747951566975e-19,-0.1594805811859374
cg26570804,0.4075794,98.707318978396,1.0111942143858001e-20,5.91908293929871e-19,-0.20255080844940715
cg05996512,0.418446266666667,98.6691590581157,1.02661184960786e-20,5.995232808262761e-19,-0.20963797537619705
cg24599270,0.579748066666666,98.6241160391075,1.04511498142338e-20,6.09256778612459e-19,-0.15967387842092795
cg22603555,0.401714466666667,98.570256395418,1.06768074845767e-20,6.21138818203715e-19,-0.15336665293610507
cg08266202,0.3824252,98.5368626133102,1.0819173137589501e-20,6.28686485925207e-19,-0.16764396559938016
cg26625729,0.535145133333333,98.2149090319363,1.2293586001211501e-20,7.057944569057481e-19,-0.17657755447562018
cg05883690,0.2853668,97.8194535077516,1.43842050477054e-20,8.112268310527451e-19,-0.15022727100296962
cg19350020,0.233993133333333,97.7595503868401,1.4730693066252302e-20,8.27486847467024e-19,-0.15776605299595187
cg08284564,0.406405133333333,97.1207279020595,1.8991132670184502e-20,1.03954269663959e-18,-0.1547632212443561
cg06539449,0.397327066666667,96.6037662550165,2.33319197605475e-20,1.2564283463704599e-18,-0.16904818685008555
cg06661812,0.4528338,96.51212936031,2.4199618605107202e-20,1.29999024665841e-18,-0.17902444857012573
cg06902379,0.506483266666667,95.7989531656888,3.21617446296596e-20,1.68144546092415e-18,-0.15480648290093202
cg23516560,0.410885733333333,95.6561001066572,3.40492708954214e-20,1.76944258385913e-18,-0.15359451920446177
cg16772207,0.335995666666667,95.2557612994503,3.9954234228618304e-20,2.0432477188170597e-18,-0.1917169787339884
cg18708402,0.517084,94.9124419349551,4.58327949256242e-20,2.3094765901875e-18,-0.15614522374537765
cg19576241,0.505132733333333,94.8234167829727,4.74943812522817e-20,2.38175181961698e-18,-0.16641827163312573
cg24249925,0.358000333333333,94.7797870459707,4.8330686613027705e-20,2.4206430229757698e-18,-0.17150726958089912
cg10628201,0.448005266666667,94.4458769583097,5.52415085682792e-20,2.72024826346279e-18,-0.20446794333117863
cg02977955,0.553536333333333,94.3727654812879,5.68827031019615e-20,2.7900266472138197e-18,-0.1630871053657269
cg26429783,0.392413866666667,94.1801957764046,6.144406647650691e-20,2.99311374854313e-18,-0.168504577356342
cg19735250,0.30969,94.0455332532411,6.48507319094731e-20,3.14368197965576e-18,-0.1611552870572886
cg20595750,0.3100114,93.6442313808126,7.617201592912011e-20,3.64458037495435e-18,-0.21126382568349056
cg24053070,0.565222466666667,93.4238266049074,8.321528286201901e-20,3.94179963550798e-18,-0.19678530064080424
cg16264004,0.4083432,93.2884240204976,8.78633959131034e-20,4.14226838111172e-18,-0.17251632278427803
cg18690282,0.470887466666667,93.1023397455938,9.46804519042106e-20,4.4269726678999895e-18,-0.15956433516483515
cg05677446,0.519963066666667,92.9626019118187,1.00147291106073e-19,4.66724363714559e-18,-0.1654658230734154
cg14636575,0.2775388,92.4062188716738,1.252520566684e-19,5.7063475332716694e-18,-0.17611320305812772
cg26888153,0.430760333333333,92.382703564378,1.2644260796794802e-19,5.75400573176247e-18,-0.16920823344083646
cg05966641,0.3693652,92.1131392378063,1.4093132723001e-19,6.32945055820902e-18,-0.1767233144983329
cg26180255,0.469735266666667,91.7402664344238,1.63766970086421e-19,7.24555170092212e-18,-0.1869345445485886
cg27338511,0.346431533333333,91.7286693996519,1.64533995264852e-19,7.27625406884302e-18,-0.17128877376259438
cg27647370,0.375544333333333,91.6155597398987,1.7220716620343202e-19,7.58023696906804e-18,-0.15526719529672328
cg05977072,0.286641533333333,91.5264913787263,1.7850193738105902e-19,7.82963000912947e-18,-0.15642829318527463
cg01560422,0.4247262,91.3744475311101,1.8978687345298e-19,8.27540615977123e-18,-0.1764266980545643
cg13728069,0.452139,90.9059747560503,2.2927465365265997e-19,9.834333939284469e-18,-0.17674685054480405
cg13319175,0.497161066666667,90.7970576592643,2.39582045172346e-19,1.02359775236877e-17,-0.19072079493988098
cg22834443,0.472334133333333,90.6010452471964,2.5932031647000003e-19,1.0996705976637e-17,-0.15992673169238414
cg25116789,0.295708666666667,90.4895650141411,2.7126773748335804e-19,1.14642862665768e-17,-0.1507290070855573
cg20480274,0.3685572,90.4577059564317,2.74782730625379e-19,1.1602986772834601e-17,-0.15496326195760318
cg27205487,0.584683,90.3680209999349,2.84925582760989e-19,1.20097104350547e-17,-0.1767708881038449
cg14249078,0.4472484,89.969342408151,3.3477238258116804e-19,1.38916243830405e-17,-0.18908491845180136
cg02418175,0.4647398,89.8457325743135,3.51942657898294e-19,1.4528432802315902e-17,-0.1683728744392391
cg16796458,0.396818866666667,89.6374220447235,3.82906787987186e-19,1.56863392357505e-17,-0.15058594922177693
cg27317046,0.271720333333333,89.1615214814739,4.64326730440051e-19,1.86949252284321e-17,-0.1762467766069547
cg23158475,0.488139733333333,89.1090044979699,4.743176766722131e-19,1.90586515962345e-17,-0.1709923200979756
cg13266188,0.5211702,89.0977935028025,4.76478331081768e-19,1.9137746213416998e-17,-0.19892398900300856
cg11872231,0.494579733333333,89.0416811136369,4.87442357977324e-19,1.9538707770170202e-17,-0.1946357780987823
cg04439215,0.3261,89.0132474798365,4.930946328605599e-19,1.97295324419029e-17,-0.18706245286059625
cg01769521,0.393645333333333,88.8476474902082,5.27349046713075e-19,2.09318793511139e-17,-0.16439516266841936
cg00317626,0.300303066666667,88.8376994250454,5.29481419012271e-19,2.10039591786058e-17,-0.15785557184812454
cg00552696,0.458307466666667,88.6636336674693,5.682280170491641e-19,2.24115261295339e-17,-0.15759983266183186
cg09052548,0.318313,88.3301855044503,6.5060007622277e-19,2.53689452144212e-17,-0.15444978964662787
cg02991753,0.363237133333333,88.3036428648534,6.57651652827001e-19,2.56138157888835e-17,-0.15757049540746532
cg04754683,0.364561066666667,88.0389174027761,7.323291237211651e-19,2.82899249132751e-17,-0.16102029877646296
cg23521262,0.512626,87.6808246368574,8.47105387496285e-19,3.22878390779128e-17,-0.18522172101099754
cg04700861,0.611494266666667,87.5103436228508,9.079444318739911e-19,3.4373810945802104e-17,-0.16064492291870924
cg11661000,0.6217306,87.501663178466,9.11157211594441e-19,3.44626841649995e-17,-0.1514251334797604
cg00682096,0.397716066666667,87.2068912433408,1.02731906656767e-18,3.8476259646114404e-17,-0.17689829809551472
cg20132775,0.323834266666667,86.837173723548,1.19431255909537e-18,4.4174038632261103e-17,-0.171884137372887
cg12139707,0.424509,86.7853254536065,1.21982032648815e-18,4.50255032408257e-17,-0.15314644328577215
cg11559967,0.444377266666667,86.6420176509585,1.29321038657776e-18,4.7516604544541703e-17,-0.16944001685592114
cg21287554,0.5104394,86.4153514578116,1.4184662855666499e-18,5.1692993126049905e-17,-0.21071264212558383
cg27361227,0.461254466666666,86.2980510541676,1.4880074643546298e-18,5.40136424354885e-17,-0.15641917508921382
cg10636760,0.279370333333333,86.2773226825946,1.50064808155122e-18,5.44228864924463e-17,-0.15999780021047488
cg26739230,0.397882933333333,86.2599743374608,1.5113104720234698e-18,5.47597083205269e-17,-0.16537777069842202
cg25750507,0.426540466666667,86.0848324644173,1.6233158707777399e-18,5.85410881795241e-17,-0.1566028662661667
cg09264782,0.507343866666667,85.822259436532,1.80707575485073e-18,6.45484244303845e-17,-0.1767902403486924
cg06791083,0.437879866666667,85.7412806142494,1.8678656698444798e-18,6.65051043769366e-17,-0.171411400648599
cg10448724,0.3016648,85.6948990512084,1.90360594925588e-18,6.76808242865571e-17,-0.16669613419030282
cg01782247,0.4479366,85.0834475936802,2.4444262457705598e-18,8.51159596756168e-17,-0.18370445674873065
cg09697084,0.366894266666667,85.0603461177771,2.4676472487035297e-18,8.57946253575626e-17,-0.15737061626713472
cg19079351,0.345374866666667,84.7583148508588,2.7924660967136398e-18,9.63253310272643e-17,-0.15016137739247232
cg04779597,0.431789,84.7437785279243,2.809141496969e-18,9.68669856295287e-17,-0.17876080092502117
cg02276361,0.4425116,84.6533532992876,2.9151463772106e-18,1.00313883308177e-16,-0.1583170258414639
cg12602405,0.2611142,84.5049184061051,3.09795137057627e-18,1.05945365781063e-16,-0.18380129763420916
cg20138186,0.417796933333333,84.4917947261826,3.11465841582941e-18,1.0646187309562001e-16,-0.15396160915691692
cg21203781,0.4413048,84.3639569707544,3.28221887570232e-18,1.11576396186504e-16,-0.15395818580959736
cg14684749,0.4142252,84.1706320540011,3.55300265269324e-18,1.20003031007499e-16,-0.15992243353025243
cg02676602,0.545691866666667,84.1224663043983,3.6238943233647195e-18,1.22241908064678e-16,-0.2292558644064553
cg06580014,0.366075,84.0144731684322,3.78805632450142e-18,1.27380275381074e-16,-0.16855309258583268
cg04217498,0.488539533333333,83.7949101242655,4.14525026742097e-18,1.38340352117291e-16,-0.15329446875149466
cg02347312,0.558957733333333,83.7426344202488,4.2351739620514e-18,1.40986978687434e-16,-0.20261193935375887
cg07117402,0.4713238,83.5117841218702,4.65633911306465e-18,1.53559472060123e-16,-0.16277020780405183
cg26881307,0.3459684,83.4859154237924,4.7060856839037895e-18,1.55082000456871e-16,-0.1823786080376531
cg02810375,0.515695533333334,83.3754693245511,4.9245629846436095e-18,1.61692937053962e-16,-0.18902126635800098
cg14355482,0.289752333333333,83.110358123015,5.4915509107035195e-18,1.78659779351562e-16,-0.16098452836948735
cg07727425,0.540403066666667,83.074114953914,5.57400593271165e-18,1.81105635217254e-16,-0.17989618476461977
cg09163745,0.4294202,82.9132106936219,5.95537278503094e-18,1.92366759699938e-16,-0.1544792705078779
cg01675953,0.4368746,82.8963205720674,5.9968970171397e-18,1.93613833725303e-16,-0.16376395396668997
cg03530074,0.483352866666667,82.8120254092191,6.2085307200832195e-18,1.99863310775314e-16,-0.16615817047248238
cg21533262,0.307960933333333,82.7283754378316,6.42597146178343e-18,2.06395993004055e-16,-0.16387735708340906
cg03946532,0.345662266666667,82.5630016094249,6.87865097572238e-18,2.19695405503082e-16,-0.1549626899401736
cg25903143,0.450202,82.3893025830132,7.38871097222317e-18,2.34519156040177e-16,-0.15413690260491913
cg22720392,0.465131,82.282300033688,7.72168540613986e-18,2.44386689525536e-16,-0.19960549951007706
cg27561818,0.421706333333333,81.9328538807156,8.91793689041089e-18,2.79493262226627e-16,-0.17227886667242226
cg09872088,0.583675066666666,81.8787058257849,9.119306379370319e-18,2.85220748719887e-16,-0.16377473308907242
cg26549860,0.530220466666667,81.7683862322901,9.5438348417085e-18,2.97424140758384e-16,-0.16779395446550704
cg12531838,0.507825666666667,81.7367854388437,9.669063284093909e-18,3.00808936418174e-16,-0.1568265347468063
cg13759778,0.498852866666667,81.3008681528973,1.15751240834849e-17,3.5577205630617004e-16,-0.19030161969752235
cg19432886,0.300883933333333,81.1814484644414,1.2160369169931201e-17,3.71980290866072e-16,-0.1763170207452865
cg16808481,0.448849133333333,81.0813628750091,1.2673731882902201e-17,3.86200722509789e-16,-0.15085159920954694
cg14310533,0.598433533333333,81.0649708042717,1.27598643621134e-17,3.88587547322098e-16,-0.16704361362666353
cg14958265,0.5989596,80.8597010520652,1.38896517053572e-17,4.19911579320208e-16,-0.15354879331885618
cg00352652,0.376979533333333,80.6861459465769,1.4923069939806902e-17,4.4876931767794495e-16,-0.15139731743860335
cg08194369,0.310833466666667,80.6474055507866,1.51641093229559e-17,4.55330296182594e-16,-0.15129725661179028
cg02203714,0.483589866666667,80.6364782784832,1.5232803234727502e-17,4.57048379243284e-16,-0.15976187605827824
cg01589353,0.476098466666667,80.567326552361,1.56748405625165e-17,4.68827955237783e-16,-0.2553821757391695
cg10982635,0.422501266666667,80.4361198738542,1.65493319386824e-17,4.9291070844623e-16,-0.1567583484162896
cg13550729,0.414611333333333,80.3578038089834,1.7094528082542402e-17,5.076305205414819e-16,-0.15644679724106264
cg12354377,0.449282466666667,80.1038126002388,1.89901406165257e-17,5.59499744752974e-16,-0.1776927879973908
cg01727408,0.391496666666667,80.0960275743129,1.90514693293234e-17,5.60974663978648e-16,-0.1696538810105102
cg16679302,0.484005933333333,79.827547763588,2.1292965014270003e-17,6.22648845553508e-16,-0.21810221760485016
cg10414350,0.369258333333333,79.6917659129762,2.25257544442207e-17,6.55425755352608e-16,-0.1661816832779624
cg14375632,0.389199266666667,79.4992335879974,2.43978986918576e-17,7.065952509994601e-16,-0.15280592934288695
cg20754324,0.492668866666667,79.0987451361189,2.88089879594797e-17,8.24276505160304e-16,-0.154628606851425
cg13827361,0.423222666666667,79.0825982352462,2.9002767841851e-17,8.29106146380918e-16,-0.16750570427074946
cg16311946,0.513772,79.0584018450002,2.92956072858465e-17,8.36876901340187e-16,-0.16095657660518858
cg23007540,0.555838266666667,78.9310327247346,3.08868587906962e-17,8.78552711642591e-16,-0.16993115244509083
cg06672008,0.4532326,78.8575621788257,3.18439919457813e-17,9.03454783322843e-16,-0.18049722290579218
cg17504591,0.3175426,78.8007635410679,3.26043350497613e-17,9.23579279558606e-16,-0.2052503616140835
cg20655369,0.5063988,78.6958162788242,3.40576026562513e-17,9.60510289137984e-16,-0.16182493812248355
cg27444940,0.519264866666667,78.5425629350664,3.62976704585433e-17,1.0184862309959201e-15,-0.15525112251591755
cg22609233,0.398923333333333,78.5333017459757,3.64376932821601e-17,1.02170228918654e-15,-0.1629348112846058
cg25616829,0.466163,78.4939221603922,3.7039178189492504e-17,1.03725329266144e-15,-0.15741070219402103
cg23786205,0.562707066666667,78.437955223894,3.7911243301962e-17,1.0598862099528701e-15,-0.1732607740873957
cg27060387,0.471402466666667,78.2340818327283,4.1266320069984e-17,1.1460170872221501e-15,-0.156990521462122
cg05709720,0.485357866666667,77.9695910078979,4.60681311021819e-17,1.27097753696877e-15,-0.18573410692521541
cg00597931,0.465320733333333,77.8871996347517,4.76758599541744e-17,1.3122426790457202e-15,-0.1671023184448931
cg00449868,0.505418666666666,77.8149453269685,4.9132171450898504e-17,1.3478554557707601e-15,-0.17931158464032537
cg01923429,0.529785,77.7799546715313,4.98534199982459e-17,1.36538450728385e-15,-0.1520246619576765
cg24948406,0.393454,77.5452586697583,5.4974331715695e-17,1.49465616820997e-15,-0.1577526322214038
cg05676570,0.421321533333333,77.5266094766503,5.54032592154724e-17,1.5043488790734701e-15,-0.16683269268078021
cg09789239,0.639,77.515842034072,5.56524393209027e-17,1.5102910750836202e-15,-0.1708127677799729
cg15284545,0.365137066666667,77.5130898088154,5.571631199700281e-17,1.5116124504700801e-15,-0.15846267798258845
cg17831791,0.3896222,77.3510485614173,5.96098402448181e-17,1.6084803314322501e-15,-0.17674693702456667
cg17058383,0.2711614,77.3140846661887,6.05356826881578e-17,1.63125240404548e-15,-0.151884021681371
cg17215172,0.517322,77.2931038252241,6.10676151715042e-17,1.6451411310933201e-15,-0.18087632686328714
cg05972792,0.5945998,77.2872164076022,6.12177233234471e-17,1.6485159539432502e-15,-0.16294454335222464
