,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Name,Regulatory_Feature_Group,GeneSymbol,in_signature
cg24207068,RPTOR;RPTOR,NM_001163034;NM_020761,Body;Body,chr17:78863569-78863813,S_Shore,True,17:78864954-78866627,Unclassified,RPTOR,False
cg02262553,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg23654401,VOPP1,NM_030796,Body,nan,nan,True,nan,nan,VOPP1,False
cg13591783,ANXA1,NM_000700,5'UTR,nan,nan,nan,nan,nan,ANXA1,False
cg21727223,nan,nan,nan,nan,nan,True,17:66755769-66756384,Unclassified,nan,False
cg03652336,MAML3,NM_018717,Body,nan,nan,True,4:141017179-141017620,Unclassified_Cell_type_specific,MAML3,False
cg06062378,MCC;MCC,NM_002387;NM_001085377,Body;Body,nan,nan,True,nan,nan,MCC,False
cg21954370,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
cg23542902,nan,nan,nan,nan,nan,True,3:193807608-193807837,Unclassified_Cell_type_specific,nan,False
cg06470626,CDR2,NM_001802,Body,nan,nan,True,nan,nan,CDR2,False
cg12591668,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg00258316,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg16565696,CDH22,NM_021248,Body,chr20:44838887-44839204,N_Shelf,nan,nan,nan,CDH22,False
cg02061820,MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1,NM_207295;NM_207293;NM_021038;NM_207292;NM_207296;NM_207297;NM_207294,Body;Body;Body;Body;Body;Body;Body,nan,nan,True,nan,nan,MBNL1,False
cg09126279,nan,nan,nan,nan,nan,True,4:40674903-40675429,Promoter_Associated,nan,False
cg24906819,PRAGMIN,NM_001080826,Body,nan,nan,True,nan,nan,PRAGMIN,False
cg11229273,ARHGEF3,NM_001128615,Body,nan,nan,True,nan,nan,ARHGEF3,False
cg16683060,UBAC2;UBAC2;UBAC2,NM_001144072;NM_177967;NR_026644,Body;Body;Body,nan,nan,True,13:99974502-99974809,Unclassified_Cell_type_specific,UBAC2,False
cg09456094,SP100;SP100;SP100;SP100,NM_001080391;NM_003113;NM_001080391;NM_003113,5'UTR;1stExon;1stExon;5'UTR,nan,nan,nan,2:231280510-231281142,Promoter_Associated_Cell_type_specific,SP100,True
cg06633978,CFDP1,NM_006324,Body,nan,nan,True,16:75353238-75353958,Unclassified,CFDP1,False
cg11146034,ELK3,NM_005230,5'UTR,chr12:96588665-96589145,S_Shore,nan,nan,nan,ELK3,False
cg12394201,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg13340765,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg11606261,SP1;SP1,NM_003109;NM_138473,5'UTR;Body,chr12:53774336-53774603,S_Shore,nan,12:53775334-53776683,Promoter_Associated,SP1,False
cg22193385,KRT7,NM_005556,Body,chr12:52639195-52639416,N_Shore,True,12:52637831-52638358,Unclassified,KRT7,False
cg11868461,nan,nan,nan,nan,nan,nan,17:75830488-75830920,Unclassified_Cell_type_specific,nan,False
cg24028809,RGS17,NM_012419,5'UTR,nan,nan,True,6:153413946-153414218,Unclassified_Cell_type_specific,RGS17,False
cg23618477,nan,nan,nan,chr6:169331837-169332301,S_Shelf,nan,nan,nan,nan,False
cg14939821,DOCK1;FAM196A,NM_001380;NM_001039762,Body;Body,nan,nan,True,nan,nan,DOCK1,False
cg02326058,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg04313875,RILP;RILP,NM_031430;NM_031430,5'UTR;1stExon,chr17:1551730-1553249,Island,nan,nan,nan,RILP,True
cg26361533,CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C,NM_001129844;NM_001129827;NM_001129839;NM_001129834;NM_001129841;NM_000719;NM_001129830;NM_001167625;NM_001129843;NM_001167624;NM_001129835;NM_001129837;NM_001167623;NM_001129840;NM_199460;NM_001129833;NM_001129832;NM_001129829;NM_001129846;NM_001129836;NM_001129838;NM_001129831;NM_001129842,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,nan,nan,True,12:2445561-2445801,Unclassified_Cell_type_specific,CACNA1C,False
cg10949007,GLRX;GLRX,NM_001118890;NM_002064,TSS1500;TSS1500,nan,nan,True,nan,nan,GLRX,False
cg17611046,FARS2,NM_006567,Body,nan,nan,True,nan,nan,FARS2,False
cg10893986,PRDM16;PRDM16,NM_022114;NM_199454,Body;Body,nan,nan,nan,nan,nan,PRDM16,False
cg27416337,CNOT10,NM_015442,Body,nan,nan,True,nan,nan,CNOT10,False
cg05228359,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg08091439,AHCYL1,NM_006621,Body,nan,nan,True,nan,nan,AHCYL1,False
cg20979153,ZNF217,NM_006526,TSS200,chr20:52198058-52198400,S_Shore,nan,20:52199667-52199861,Promoter_Associated_Cell_type_specific,ZNF217,False
cg25437886,LIMD1,NM_014240,Body,nan,nan,True,nan,nan,LIMD1,False
cg03466587,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg09354692,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg20873416,nan,nan,nan,nan,nan,True,6:30736753-30737699,Unclassified_Cell_type_specific,nan,False
cg23723410,nan,nan,nan,nan,nan,True,1:59485556-59486423,Unclassified,nan,False
cg24536349,LY6K;LY6K;LY6K,NM_001160355;NM_001160354;NM_017527,TSS200;TSS200;TSS200,chr8:143781581-143782609,N_Shore,True,nan,nan,LY6K,False
cg04275695,ZC3H12D,NM_207360,TSS200,nan,nan,nan,6:149805583-149806902,Promoter_Associated,ZC3H12D,False
cg06433467,nan,nan,nan,nan,nan,nan,5:67729978-67730609,Unclassified,nan,False
cg18672030,RELL1;RELL1,NM_001085400;NM_001085399,Body;Body,nan,nan,nan,nan,nan,RELL1,False
cg16925459,HDAC9;HDAC9;HDAC9;HDAC9;HDAC9,NM_178425;NM_178423;NM_058177;NM_058176;NM_014707,Body;Body;Body;Body;Body,nan,nan,True,nan,nan,HDAC9,False
cg09228833,ZNF217,NM_006526,TSS200,chr20:52198058-52198400,S_Shore,nan,20:52199667-52199861,Promoter_Associated_Cell_type_specific,ZNF217,False
cg09331409,MAP6;MAP6,NM_033063;NM_207577,Body;3'UTR,nan,nan,True,nan,nan,MAP6,False
cg16881676,TUBA1C,NM_032704,Body,chr12:49658246-49659175,S_Shore,nan,12:49657956-49660670,Promoter_Associated,TUBA1C,False
cg03852144,GLRX;GLRX,NM_001118890;NM_002064,TSS1500;TSS1500,nan,nan,True,nan,nan,GLRX,False
cg04470054,RPTOR;RPTOR,NM_001163034;NM_020761,Body;Body,chr17:78831505-78831864,N_Shore,True,17:78830300-78831041,Unclassified,RPTOR,False
cg23521140,nan,nan,nan,nan,nan,True,2:37617441-37617978,Unclassified,nan,False
cg18670236,CHCHD6,NM_032343,Body,nan,nan,True,3:126630239-126630714,Unclassified,CHCHD6,False
cg07220152,nan,nan,nan,nan,nan,True,6:30736753-30737699,Unclassified_Cell_type_specific,nan,False
cg15887927,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
cg07551060,GRK5,NM_005308,Body,nan,nan,True,10:121075133-121075401,Unclassified,GRK5,False
cg08446038,ITGA2,NM_002203,Body,nan,nan,True,5:52327642-52327747,Unclassified_Cell_type_specific,ITGA2,False
cg19724567,IFRD1,NM_001007245,TSS200,nan,nan,True,nan,nan,IFRD1,False
cg02072495,ANXA2;ANXA2;ANXA2;ANXA2,NM_001136015;NM_004039;NM_001002858;NM_001002857,5'UTR;5'UTR;Body;5'UTR,chr15:60689749-60690430,N_Shore,nan,15:60689255-60689526,Unclassified_Cell_type_specific,ANXA2,False
cg17266282,nan,nan,nan,nan,nan,True,6:112294275-112294767,Unclassified_Cell_type_specific,nan,True
cg23007087,AP3S2;AP3S2,NM_005829;NR_023361,Body;Body,nan,nan,True,nan,nan,AP3S2,False
cg26165146,ARNTL2,NM_020183,TSS1500,chr12:27485683-27486676,N_Shore,nan,nan,nan,ARNTL2,False
cg24032190,SMAD3;SMAD3;SMAD3,NM_005902;NM_001145103;NM_001145102,Body;Body;5'UTR,nan,nan,nan,nan,nan,SMAD3,False
cg20749059,ARHGEF3;SPATA12,NM_001128615;NM_181727,5'UTR;TSS200,nan,nan,nan,nan,nan,ARHGEF3,False
cg06385583,nan,nan,nan,nan,nan,True,2:12596433-12597054,Promoter_Associated_Cell_type_specific,nan,False
cg18825531,nan,nan,nan,nan,nan,True,11:62321068-62321302,Unclassified,nan,False
cg15840891,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg18082788,ZC3H12D,NM_207360,TSS200,nan,nan,nan,6:149805583-149806902,Promoter_Associated,ZC3H12D,False
cg05068848,nan,nan,nan,nan,nan,True,4:23335521-23336159,Unclassified_Cell_type_specific,nan,False
cg01413054,CAB39;CAB39;CAB39,NM_001130850;NM_016289;NM_001130849,Body;Body;Body,nan,nan,nan,2:231658766-231659074,Unclassified_Cell_type_specific,CAB39,False
cg00612751,FMNL2,NM_052905,Body,nan,nan,True,nan,nan,FMNL2,False
cg22074858,GBP3;GBP3,NM_018284;NM_018284,1stExon;5'UTR,nan,nan,nan,1:89488357-89488724,Promoter_Associated,GBP3,False
cg27641628,TMEM140,NM_018295,5'UTR,nan,nan,True,7:134832501-134833286,Promoter_Associated,TMEM140,False
cg26366091,CHI3L2;CHI3L2,NM_001025197;NM_004000,TSS200;TSS200,nan,nan,nan,nan,nan,CHI3L2,False
cg16395183,HHAT;HHAT;HHAT;HHAT;HHAT;HHAT,NM_001170580;NM_001170588;NM_018194;NM_001122834;NM_001170587;NM_001170564,Body;Body;Body;Body;Body;Body,nan,nan,True,nan,nan,HHAT,False
cg17694130,nan,nan,nan,nan,nan,True,4:14857871-14858365,Unclassified_Cell_type_specific,nan,False
cg02782634,TMEM49,NM_030938,Body,nan,nan,nan,nan,nan,TMEM49,False
cg26315985,JAK1,NM_002227,5'UTR,nan,nan,True,nan,nan,JAK1,True
cg11039361,MARK2;MARK2;MARK2;MARK2;MARK2,NM_017490;NM_004954;NM_001039469;NM_001163297;NM_001163296,TSS1500;Body;Body;Body;Body,nan,nan,True,11:63655658-63656430,Promoter_Associated,MARK2,False
cg01235000,CPLX2;CPLX2,NM_001008220;NM_006650,Body;Body,nan,nan,nan,nan,nan,CPLX2,False
cg06253058,WWTR1;WWTR1;WWTR1,NM_015472;NM_001168278;NM_001168280,Body;Body;Body,chr3:149374709-149376300,Island,nan,nan,nan,WWTR1,False
cg14556762,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg22066894,KIRREL3;KIRREL3,NM_001161707;NM_032531,Body;Body,nan,nan,True,nan,nan,KIRREL3,False
cg04456219,nan,nan,nan,nan,nan,nan,7:17273827-17274485,Unclassified_Cell_type_specific,nan,True
cg13475583,nan,nan,nan,nan,nan,nan,1:235116297-235116874,Promoter_Associated,nan,False
cg20740711,nan,nan,nan,nan,nan,True,2:113449714-113450382,Unclassified,nan,False
cg22046201,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg13585930,NPFFR1,NM_022146,TSS1500,nan,nan,nan,nan,nan,NPFFR1,False
cg02621151,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
cg05797854,NOX3,NM_015718,Body,nan,nan,True,6:155739121-155740043,Unclassified,NOX3,False
cg26140475,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg17746570,RCVRN,NM_002903,Body,chr17:9808067-9808339,N_Shelf,True,nan,nan,RCVRN,False
cg23261319,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg19136632,ARL6IP5,NM_006407,TSS1500,chr3:69134086-69134479,N_Shore,nan,3:69133321-69134690,Promoter_Associated,ARL6IP5,False
cg17098965,ZNF217;ZNF217,NM_006526;NM_006526,5'UTR;1stExon,chr20:52198058-52198400,S_Shore,nan,nan,nan,ZNF217,False
cg03919488,PPM1H,NM_020700,Body,nan,nan,True,nan,nan,PPM1H,False
cg23680451,KLF6;KLF6;KLF6;KLF6,NR_027653;NM_001160124;NM_001160125;NM_001300,Body;Body;Body;Body,chr10:3823789-3824017,Island,nan,10:3823604-3824453,Promoter_Associated,KLF6,False
cg16066354,APOBEC3D;APOBEC3D,NM_152426;NM_152426,1stExon;5'UTR,nan,nan,True,nan,nan,APOBEC3D,False
cg12054453,TMEM49,NM_030938,Body,nan,nan,nan,nan,nan,TMEM49,True
cg08500112,PDE4D;PDE4D,NM_001165899;NM_001104631,Body;Body,nan,nan,True,nan,nan,PDE4D,False
cg27208307,SRGN,NM_002727,TSS1500,nan,nan,nan,10:70847334-70848080,Promoter_Associated,SRGN,False
cg10167235,WARS;WARS;WARS;WARS,NM_173701;NM_004184;NM_213645;NM_213646,Body;Body;Body;Body,nan,nan,True,nan,nan,WARS,False
cg03593014,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg19071452,NMI,NM_004688,TSS1500,chr2:152145869-152146319,S_Shore,nan,2:152145712-152147152,Promoter_Associated_Cell_type_specific,NMI,False
cg13776285,NR2E1,NM_003269,Body,chr6:108485671-108490539,Island,True,nan,nan,NR2E1,False
cg09414827,TMEM140,NM_018295,TSS200,nan,nan,True,7:134832501-134833286,Promoter_Associated,TMEM140,True
cg24207161,TIAM2,NM_012454,Body,nan,nan,nan,6:155463998-155464819,Promoter_Associated_Cell_type_specific,TIAM2,False
cg20707023,nan,nan,nan,chr5:141132811-141133338,S_Shore,nan,nan,nan,nan,False
cg01409343,TMEM49,NM_030938,Body,nan,nan,nan,nan,nan,TMEM49,True
cg06456031,TMEM140;TMEM140,NM_018295;NM_018295,1stExon;5'UTR,nan,nan,True,7:134832501-134833286,Promoter_Associated,TMEM140,True
cg07078958,SH3BP5;SH3BP5,NM_001018009;NM_004844,Body;Body,nan,nan,True,3:15310982-15311450,Promoter_Associated,SH3BP5,False
cg16668651,nan,nan,nan,nan,nan,True,15:81315714-81316640,Unclassified_Cell_type_specific,nan,False
cg03301058,GABRR2,NM_002043,Body,nan,nan,True,6:90007623-90008148,Unclassified,GABRR2,False
cg17951713,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg22400059,PEX14,NM_004565,Body,nan,nan,nan,1:10570616-10571580,Unclassified,PEX14,False
cg26758857,APOL1;APOL1;APOL1;APOL1;APOL1;APOL1;APOL1;APOL1,NM_001136540;NM_001136541;NM_001136541;NM_003661;NM_145343;NM_145343;NM_001136540;NM_003661,5'UTR;5'UTR;1stExon;1stExon;5'UTR;1stExon;1stExon;5'UTR,nan,nan,nan,22:36648819-36649508,Unclassified,APOL1,False
cg00049440,KLF9,NM_001206,Body,chr9:73027330-73029184,N_Shore,nan,nan,nan,KLF9,False
cg26522946,SRGN,NM_002727,TSS1500,nan,nan,nan,10:70847334-70848080,Promoter_Associated,SRGN,False
cg04102510,ITPKB,NM_002221,Body,nan,nan,nan,1:226850447-226851096,Promoter_Associated,ITPKB,False
cg06085204,XAF1;XAF1;XAF1;XAF1,NM_017523;NM_199139;NM_199139;NM_017523,5'UTR;5'UTR;1stExon;1stExon,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg19858214,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg10576245,PCNXL2,NM_014801,Body,nan,nan,True,nan,nan,PCNXL2,False
cg23045908,PDE4B;PDE4B;PDE4B;PDE4B,NM_001037341;NM_001037339;NM_001037340;NM_002600,Body;Body;Body;Body,nan,nan,True,1:66799308-66799445,Promoter_Associated_Cell_type_specific,PDE4B,False
cg13013900,XAF1;XAF1;XAF1;XAF1,NM_017523;NM_199139;NM_199139;NM_017523,5'UTR;5'UTR;1stExon;1stExon,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg04786142,nan,nan,nan,nan,nan,nan,1:234907976-234908830,Promoter_Associated,nan,False
cg23662097,ITPR1;ITPR1;ITPR1,NM_002222;NM_001099952;NM_001168272,Body;Body;Body,nan,nan,True,3:4872445-4873512,Unclassified,ITPR1,False
cg22923409,FRMD4A,NM_018027,Body,nan,nan,nan,nan,nan,FRMD4A,False
cg16001422,PLEC1;PLEC1;PLEC1;PLEC1,NM_000445;NM_201378;NM_201379;NM_201380,Body;Body;Body;Body,chr8:145024449-145025179,N_Shore,True,8:145022519-145023324,Unclassified_Cell_type_specific,PLEC1,False
cg08569678,LY6K;LY6K;LY6K,NM_001160355;NM_001160354;NM_017527,TSS200;TSS200;TSS200,chr8:143781581-143782609,N_Shore,True,nan,nan,LY6K,False
cg06341590,nan,nan,nan,nan,nan,nan,4:57623705-57624717,Unclassified,nan,False
cg23173466,MAX;MAX;MAX;MAX;MAX;MAX,NM_145116;NM_145112;NM_145114;NM_197957;NM_002382;NM_145113,Body;Body;Body;Body;Body;Body,chr14:65568454-65570009,N_Shelf,nan,14:65565362-65565704,Promoter_Associated_Cell_type_specific,MAX,False
cg18942579,TMEM49,NM_030938,Body,nan,nan,nan,17:57915757-57915880,Promoter_Associated,TMEM49,False
cg04208750,RREB1;RREB1;RREB1;RREB1,NM_001003700;NM_001003699;NM_001168344;NM_001003698,5'UTR;5'UTR;5'UTR;5'UTR,chr6:7141036-7141576,N_Shelf,True,6:7137518-7138268,Promoter_Associated,RREB1,False
cg13454226,KLF6;KLF6;KLF6;KLF6,NR_027653;NM_001160124;NM_001160125;NM_001300,Body;Body;Body;Body,chr10:3823789-3824017,N_Shore,nan,10:3823604-3824453,Promoter_Associated,KLF6,False
cg12578486,UBAC2;UBAC2;UBAC2,NM_001144072;NM_177967;NR_026644,Body;Body;Body,nan,nan,True,13:100008286-100009003,Promoter_Associated,UBAC2,False
cg12111309,nan,nan,nan,nan,nan,True,4:57623705-57624717,Unclassified,nan,False
cg00387964,SORCS2,NM_020777,Body,chr4:7647755-7647960,S_Shelf,nan,4:7651041-7653123,Unclassified,SORCS2,False
cg03317045,KIAA0040;KIAA0040;KIAA0040;KIAA0040,NM_001162894;NM_001162895;NM_014656;NM_001162893,5'UTR;5'UTR;5'UTR;5'UTR,chr1:175161900-175162364,N_Shore,nan,1:175161034-175161229,Promoter_Associated,KIAA0040,False
cg20803910,XAF1;XAF1;XAF1;XAF1,NM_017523;NM_199139;NM_199139;NM_017523,5'UTR;5'UTR;1stExon;1stExon,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg10188897,RUNDC3A;RUNDC3A;RUNDC3A,NM_001144826;NM_001144825;NM_006695,Body;Body;Body,chr17:42392323-42393079,Island,True,nan,nan,RUNDC3A,True
cg16485048,FRMD4A,NM_018027,Body,nan,nan,nan,nan,nan,FRMD4A,False
cg25650964,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg00768487,UBXN11;UBXN11;UBXN11,NM_001077262;NM_145345;NM_183008,Body;Body;Body,nan,nan,nan,1:26610815-26612777,Promoter_Associated,UBXN11,False
cg27146152,XAF1;XAF1;XAF1;XAF1,NM_017523;NM_199139;NM_199139;NM_017523,5'UTR;5'UTR;1stExon;1stExon,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg22515654,PEX14,NM_004565,Body,nan,nan,nan,nan,nan,PEX14,False
cg27549186,TIMP2,NM_003255,Body,nan,nan,True,nan,nan,TIMP2,False
cg03130910,nan,nan,nan,nan,nan,True,1:234907976-234908830,Promoter_Associated,nan,False
cg05671385,CASP1;CASP1;CASP1;CARD16;CASP1;CASP1;CARD16,NM_001223;NM_033292;NM_033294;NM_001017534;NM_033293;NM_033295;NM_052889,Body;Body;Body;Body;Body;Body;Body,nan,nan,nan,nan,nan,CASP1,False
cg15689991,RASSF3,NM_178169,Body,nan,nan,True,nan,nan,RASSF3,False
cg25508319,KCNJ5,NM_000890,5'UTR,nan,nan,nan,nan,nan,KCNJ5,False
cg17200920,nan,nan,nan,chr7:127806677-127808849,Island,nan,7:127808490-127809067,Unclassified_Cell_type_specific,nan,True
cg24595510,SCRT2,NM_033129,3'UTR,chr20:643975-645233,Island,nan,20:644202-644348,Unclassified_Cell_type_specific,SCRT2,False
cg19082496,nan,nan,nan,chr1:33896002-33896929,S_Shelf,nan,nan,nan,nan,False
cg15498306,MARCH1;MARCH1,NM_001166373;NM_017923,Body;1stExon,nan,nan,nan,nan,nan,MARCH1,False
cg02190353,SLC25A37,NM_016612,Body,nan,nan,True,nan,nan,SLC25A37,False
cg24169915,C14orf177;C14orf177,NM_182560;NM_182560,1stExon;5'UTR,nan,nan,nan,nan,nan,C14orf177,False
cg00344422,nan,nan,nan,chr13:100150692-100151020,N_Shore,nan,13:100148847-100149341,Unclassified,nan,False
cg08409642,MT2A,NM_005953,TSS1500,chr16:56642129-56642595,N_Shore,True,16:56640918-56641506,Unclassified_Cell_type_specific,MT2A,False
cg26502852,XAF1;XAF1;XAF1;XAF1,NM_017523;NM_199139;NM_199139;NM_017523,5'UTR;5'UTR;1stExon;1stExon,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg10726475,WWTR1;WWTR1;WWTR1,NM_001168278;NM_015472;NM_001168280,5'UTR;5'UTR;5'UTR,chr3:149374709-149376300,Island,nan,3:149375251-149375950,Unclassified_Cell_type_specific,WWTR1,False
cg23019886,nan,nan,nan,nan,nan,True,12:6276966-6277351,Unclassified,nan,False
cg17753212,XAF1;XAF1,NM_017523;NM_199139,Body;Body,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg14678774,MAST1,NM_014975,Body,chr19:12978359-12978785,Island,nan,19:12977916-12978933,Unclassified,MAST1,False
cg14446712,SDPR,NM_004657,TSS200,nan,nan,True,nan,nan,SDPR,False
cg22156842,TMEM22;TMEM22;TMEM22,NM_025246;NM_001097599;NM_001097600,TSS1500;TSS1500;TSS1500,chr3:136537559-136539204,N_Shore,nan,3:136537121-136537207,Unclassified_Cell_type_specific,TMEM22,False
cg19220719,nan,nan,nan,nan,nan,nan,10:77532064-77532603,Promoter_Associated_Cell_type_specific,nan,False
cg05207834,SPAG9;SPAG9,NM_003971;NM_001130528,TSS1500;TSS1500,chr17:49197522-49198474,S_Shore,nan,17:49199165-49199485,Promoter_Associated,SPAG9,True
cg06433023,NR2E1,NM_003269,Body,chr6:108485671-108490539,Island,nan,nan,nan,NR2E1,False
cg26870725,MAST1,NM_014975,Body,chr19:12978359-12978785,S_Shore,nan,19:12977916-12978933,Unclassified,MAST1,False
cg01947066,PML;PML;PML;PML;PML;PML;PML;PML;PML,NM_033247;NM_033244;NM_002675;NM_033238;NM_033246;NM_033250;NM_033239;NM_033249;NM_033240,Body;Body;Body;Body;Body;Body;Body;Body;Body,chr15:74290344-74290760,N_Shore,nan,15:74289340-74289667,Promoter_Associated,PML,False
cg08090640,IFI35,NM_005533,Body,nan,nan,nan,nan,nan,IFI35,False
cg04797936,TUBA1C,NM_032704,Body,chr12:49658246-49659175,Island,nan,12:49657956-49660670,Promoter_Associated,TUBA1C,False
cg21110456,MAD1L1;MAD1L1;MAD1L1,NM_003550;NM_001013837;NM_001013836,Body;Body;Body,chr7:2059907-2060131,N_Shore,True,7:2059100-2059936,Unclassified,MAD1L1,False
cg26402417,ENDOD1,NM_015036,Body,nan,nan,True,nan,nan,ENDOD1,False
cg01794103,TBC1D2B;TBC1D2B,NM_144572;NM_015079,Body;Body,nan,nan,True,15:78342128-78342728,Promoter_Associated,TBC1D2B,False
cg04243827,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg08946601,NR2E1,NM_003269,Body,chr6:108485671-108490539,Island,nan,nan,nan,NR2E1,False
cg26385074,C7orf52,NM_198571,Body,chr7:100815484-100816995,Island,nan,7:100816649-100817846,Unclassified,C7orf52,True
cg14743812,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg02300652,CACNB4;CACNB4;CACNB4;CACNB4,NM_001005747;NM_000726;NM_001145798;NM_001005746,Body;Body;Body;Body,nan,nan,True,2:152803562-152804367,Unclassified,CACNB4,False
cg07713361,APOL1;APOL1;APOL1;APOL1;APOL1;APOL1;APOL1;APOL1,NM_001136540;NM_001136541;NM_001136541;NM_003661;NM_145343;NM_145343;NM_001136540;NM_003661,5'UTR;5'UTR;1stExon;1stExon;5'UTR;1stExon;1stExon;5'UTR,nan,nan,nan,22:36648819-36649508,Unclassified,APOL1,False
cg27498387,ANK1;ANK1;ANK1;ANK1;ANK1,NM_020476;NM_020477;NM_000037;NM_020475;NM_001142446,TSS1500;TSS1500;TSS1500;TSS1500;Body,chr8:41654875-41655984,Island,True,8:41654959-41655898,Unclassified_Cell_type_specific,ANK1,False
cg09411730,NEAT1,NR_028272,Body,chr11:65190824-65191058,Island,nan,11:65188622-65191947,Promoter_Associated,NEAT1,True
cg14200127,DPYD,NM_000110,Body,nan,nan,True,nan,nan,DPYD,False
cg00573835,nan,nan,nan,chr16:51183699-51188763,Island,nan,nan,nan,nan,False
cg05513208,XAF1;XAF1;XAF1;XAF1,NM_017523;NM_199139;NM_199139;NM_017523,5'UTR;5'UTR;1stExon;1stExon,nan,nan,nan,17:6658985-6659679,Promoter_Associated_Cell_type_specific,XAF1,False
cg18533397,nan,nan,nan,chr1:110185961-110186164,Island,nan,1:110185798-110186499,Unclassified,nan,True
