"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140358","GO:0140358","P-type transmembrane transporter activity","5/172","21/18368",1.22418273615556e-06,3.26448729641484e-05,2.61158983713187e-05,"ATP1A3/ATP1A1/ATP2B1/ATP2B2/ATP1B1",5
"GO:0008022","GO:0008022","protein C-terminus binding","11/172","189/18368",1.71147908735424e-06,4.27869771838561e-05,3.42295817470848e-05,"NEFL/DNM1/CORO1A/VAMP2/SYNJ1/ATP1B1/RAB3A/PRDX3/SH3GL2/SYT1/MAP2K1",11
"GO:0015078","GO:0015078","proton transmembrane transporter activity","9/172","130/18368",3.74719825238717e-06,8.8169370644404e-05,7.05354965155232e-05,"ATP6V1A/ATP6V1B2/ATP6V1B1/ATP6V0A1/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",9
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","8/172","103/18368",5.60738652342602e-06,0.000124608589409467,9.96868715275736e-05,"TUBB4A/TUBA4A/NEFM/NEFL/INA/EPB41L3/NEFH/SPTBN2",8
"GO:0022804","GO:0022804","active transmembrane transporter activity","15/172","406/18368",6.72921477341074e-06,0.000141667679440226,0.000113334143552181,"ATP1A3/ATP1A1/ATP2B1/ATP6V1A/ATP2B2/ATP6V1B2/ATP1B1/ATP6V1E1/ATP6V1G2/ATP6V1H/SLC17A7/ATP6V0D1/ATP6V1D/SLC6A17/SLC24A2",15
"GO:0008017","GO:0008017","microtubule binding","12/172","271/18368",9.73499995865115e-06,0.000194699999173023,0.000155759999338418,"NEFM/MAPT/MAP1A/DNM1/NEFH/MAP6/TPPP/DNM1L/SNCA/PRNP/DYNC1I1/VPS41",12
"GO:0060090","GO:0060090","molecular adaptor activity","14/172","369/18368",1.02393047743182e-05,0.000195034376653679,0.000156027501322943,"NEFL/MAPT/MAP1A/SNAP25/GNB1/EPB41L3/NEFH/STX1B/STX1A/NAPB/VAMP2/ATP1B1/MAP2K1/NAPG",14
"GO:0003779","GO:0003779","actin binding","15/172","441/18368",1.78972601392876e-05,0.00032540472980523,0.000260323783844184,"MAPT/MAP1A/EPB41L3/CORO1A/TPM3/SYN1/YWHAH/SPTBN2/CAMK2B/SNCA/BIN1/HPCA/DMTN/WASF1/TMOD2",15
"GO:0048306","GO:0048306","calcium-dependent protein binding","7/172","88/18368",1.87473592944013e-05,0.000326041031206979,0.000260832824965583,"SNAP25/SYN1/STX1A/VAMP2/ANXA7/ANXA11/SYT1",7
"GO:0098918","GO:0098918","structural constituent of synapse","4/172","18/18368",2.050647094581e-05,0.000341774515763501,0.0002734196126108,"NEFL/INA/NEFH/SPTBN2",4
"GO:0003924","GO:0003924","GTPase activity","12/172","337/18368",8.21225348913383e-05,0.00131396055826141,0.00105116844660913,"TUBB4A/TUBA4A/DNM1/GNB1/GNAO1/TPPP/DNM1L/GNAQ/RAB3A/RAP2B/ATL1/GNG3",12
"GO:0099186","GO:0099186","structural constituent of postsynapse","3/172","11/18368",0.000125984239503633,0.00191509704009557,0.00153207763207645,"NEFL/INA/NEFH",3
"GO:0005543","GO:0005543","phospholipid binding","14/172","466/18368",0.000129269050206451,0.00191509704009557,0.00153207763207645,"MAPT/SPTBN2/PACSIN1/VAMP2/ANXA7/SNCA/BIN1/SNAP91/ANXA11/AMPH/SYT1/NRGN/CPNE6/RASAL1",14
"GO:0051287","GO:0051287","NAD binding","5/172","56/18368",0.000176356919800963,0.00251938456858519,0.00201550765486815,"QDPR/MDH1/SIRT2/IDH3A/ME1",5
"GO:0051117","GO:0051117","ATPase binding","6/172","89/18368",0.000188856766107662,0.00260492091182982,0.00208393672946386,"PPP3CA/ATP1B1/ATP6V0A1/ATP6V1E1/RAB3A/SVIP",6
"GO:0015631","GO:0015631","tubulin binding","12/172","375/18368",0.000222432257421035,0.00289799369538169,0.00231839495630535,"NEFM/MAPT/MAP1A/DNM1/NEFH/MAP6/TPPP/DNM1L/SNCA/PRNP/DYNC1I1/VPS41",12
"GO:0017124","GO:0017124","SH3 domain binding","7/172","130/18368",0.000224594511392081,0.00289799369538169,0.00231839495630535,"MAPT/DNM1/CNTNAP1/SYNJ1/PRRT2/DNAJC6/SH3BP1",7
"GO:0043621","GO:0043621","protein self-association","5/172","61/18368",0.000264511775718859,0.00330639719648573,0.00264511775718859,"VAMP2/DMTN/SYP/SVIP/VPS41",5
"GO:0005484","GO:0005484","SNAP receptor activity","4/172","36/18368",0.000346136068865646,0.00419558871352298,0.00335647097081839,"SNAP25/STX1B/STX1A/VAMP2",4
"GO:0030276","GO:0030276","clathrin binding","5/172","72/18368",0.000572692104576455,0.0067375541714877,0.00539004333719016,"DNM1L/BIN1/SNAP91/SYT1/DNAJC6",5
"GO:0019200","GO:0019200","carbohydrate kinase activity","3/172","21/18368",0.000947908658923664,0.0108332418162704,0.00866659345301636,"HK1/PFKP/PFKFB2",3
"GO:0043274","GO:0043274","phospholipase binding","3/172","24/18368",0.00141310860337974,0.0157012067042193,0.0125609653633755,"STXBP1/NEFL/SNCA",3
"GO:0044325","GO:0044325","transmembrane transporter binding","6/172","133/18368",0.00158987872206439,0.0171639779856895,0.0137311823885516,"YWHAZ/YWHAH/STX1A/VAMP2/PRNP/NPTN",6
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","4/172","54/18368",0.0016305779086405,0.0171639779856895,0.0137311823885516,"ANXA7/ANXA11/SYT1/CPNE6",4
"GO:0008198","GO:0008198","ferrous iron binding","3/172","26/18368",0.00179051685010725,0.0183642753857153,0.0146914203085723,"FTL/FTH1/SNCA",3
"GO:0004683","GO:0004683","calmodulin-dependent protein kinase activity","3/172","27/18368",0.0020005662198546,0.0195177192180937,0.0156141753744749,"CAMK2B/CAMK2G/CAMKV",3
"GO:0030507","GO:0030507","spectrin binding","3/172","27/18368",0.0020005662198546,0.0195177192180937,0.0156141753744749,"GNB1/DYNC1I1/DMTN",3
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","10/172","366/18368",0.00241219829684985,0.0229733171128557,0.0183786536902846,"ATP1A1/CNP/GNB1/PPP3CA/CAMK2G/SYNJ1/PDXP/PPP3R1/PFKFB2/DNAJC6",10
"GO:0005525","GO:0005525","GTP binding","10/172","377/18368",0.00298290615248225,0.0265892128649007,0.0212713702919206,"TUBB4A/TUBA4A/DNM1/GNAO1/DNM1L/GNAQ/RAB3A/EHD3/RAP2B/ATL1",10
"GO:0071813","GO:0071813","lipoprotein particle binding","3/172","31/18368",0.00299128644730133,0.0265892128649007,0.0212713702919206,"MAPT/APCS/CDH13",3
"GO:0071814","GO:0071814","protein-lipid complex binding","3/172","31/18368",0.00299128644730133,0.0265892128649007,0.0212713702919206,"MAPT/APCS/CDH13",3
"GO:0051087","GO:0051087","chaperone binding","5/172","107/18368",0.00334829450544731,0.029115604395194,0.0232924835161552,"ATP1A3/ATP1A1/MAPT/BIN1/PRNP",5
"GO:0047485","GO:0047485","protein N-terminus binding","5/172","110/18368",0.0037695700728404,0.032081447428429,0.0256651579427432,"STXBP1/STX1A/SNCA/MAP2K1/SYNGR3",5
"GO:0019001","GO:0019001","guanyl nucleotide binding","10/172","398/18368",0.00436958108115806,0.0355757686568208,0.0284606149254567,"TUBB4A/TUBA4A/DNM1/GNAO1/DNM1L/GNAQ/RAB3A/EHD3/RAP2B/ATL1",10
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","10/172","398/18368",0.00436958108115806,0.0355757686568208,0.0284606149254567,"TUBB4A/TUBA4A/DNM1/GNAO1/DNM1L/GNAQ/RAB3A/EHD3/RAP2B/ATL1",10
"GO:0016791","GO:0016791","phosphatase activity","8/172","275/18368",0.0044557165006776,0.0355757686568208,0.0284606149254567,"ATP1A1/PPP3CA/CAMK2G/SYNJ1/PDXP/PPP3R1/PFKFB2/DNAJC6",8
"GO:0008199","GO:0008199","ferric iron binding","2/172","11/18368",0.00453591050374466,0.0355757686568208,0.0284606149254567,"FTL/FTH1",2
"GO:0017022","GO:0017022","myosin binding","4/172","74/18368",0.00513454851851258,0.0394965270654814,0.0315972216523851,"CORO1A/STX1A/VAMP2/RAB3A",4
"GO:0032036","GO:0032036","myosin heavy chain binding","2/172","13/18368",0.00635415486268591,0.0479558857561201,0.0383647086048961,"CORO1A/STX1A",2
